time,lat,lon,vmax,mslp
2020-10-31 18:00:00,14.9,-72.4,30,1006
2020-10-31 21:00:00,14.9,-73.0,33,1006
2020-11-01 00:00:00,14.9,-73.6,35,1005
2020-11-01 03:00:00,14.9,-74.3,35,1005
2020-11-01 06:00:00,14.9,-75.1,35,1005
2020-11-01 09:00:00,14.9,-75.9,38,1004
2020-11-01 12:00:00,14.9,-76.7,40,1002
2020-11-01 15:00:00,14.9,-77.5,45,997
2020-11-01 18:00:00,14.9,-78.2,50,992
2020-11-01 21:00:00,14.9,-78.8,55,990
2020-11-02 00:00:00,14.9,-79.4,60,988
2020-11-02 03:00:00,14.9,-79.9,65,985
2020-11-02 06:00:00,14.9,-80.4,70,982
2020-11-02 09:00:00,14.9,-80.8,80,977
2020-11-02 12:00:00,14.8,-81.2,90,972
2020-11-02 15:00:00,14.8,-81.6,103,960
2020-11-02 18:00:00,14.7,-82.0,115,948
2020-11-02 21:00:00,14.5,-82.3,123,939
2020-11-03 00:00:00,14.3,-82.5,130,929
2020-11-03 03:00:00,14.1,-82.7,130,926
2020-11-03 06:00:00,14.0,-82.9,130,922
2020-11-03 09:00:00,13.8,-83.0,128,929
2020-11-03 12:00:00,13.6,-83.1,125,936
2020-11-03 15:00:00,13.6,-83.2,123,938
2020-11-03 18:00:00,13.7,-83.3,120,940
2020-11-03 21:00:00,13.8,-83.5,120,940
2020-11-04 00:00:00,13.8,-83.7,95,965
2020-11-04 03:00:00,13.8,-84.0,83,973
2020-11-04 06:00:00,13.8,-84.3,70,980
2020-11-04 09:00:00,13.8,-84.6,60,987
2020-11-04 12:00:00,13.8,-84.9,50,993
2020-11-04 15:00:00,13.8,-85.1,45,996
2020-11-04 18:00:00,13.9,-85.4,40,998
2020-11-04 21:00:00,13.9,-85.7,35,1000
2020-11-05 00:00:00,14.0,-86.0,30,1002
2020-11-05 03:00:00,14.1,-86.3,28,1004
2020-11-05 06:00:00,14.2,-86.7,25,1006
2020-11-05 09:00:00,14.3,-87.1,25,1006
2020-11-05 12:00:00,14.5,-87.5,25,1005
2020-11-05 15:00:00,14.9,-87.7,28,1005
2020-11-05 18:00:00,15.3,-87.8,30,1005
2020-11-05 21:00:00,15.8,-87.8,30,1005
2020-11-06 00:00:00,16.2,-87.8,30,1004
2020-11-06 03:00:00,16.5,-87.7,30,1004
2020-11-06 06:00:00,16.7,-87.6,30,1004
2020-11-06 09:00:00,16.8,-87.5,30,1004
2020-11-06 12:00:00,16.9,-87.4,30,1004
2020-11-06 15:00:00,17.0,-87.3,30,1004
2020-11-06 18:00:00,17.1,-87.1,30,1004
2020-11-06 21:00:00,17.3,-86.8,30,1003
2020-11-07 00:00:00,17.5,-86.4,30,1002
2020-11-07 03:00:00,17.8,-85.8,33,1002
2020-11-07 06:00:00,18.2,-85.1,35,1001
2020-11-07 09:00:00,18.7,-84.2,40,999
2020-11-07 12:00:00,19.1,-83.2,45,997
2020-11-07 15:00:00,19.5,-82.3,50,996
2020-11-07 18:00:00,19.8,-81.5,55,994
2020-11-07 21:00:00,20.1,-80.8,55,993
2020-11-08 00:00:00,20.4,-80.2,55,991
