time,lat,lon,vmax,mslp
2020-11-08 12:00:00,28.4,-47.5,25,1010
2020-11-08 15:00:00,28.4,-47.2,25,1010
2020-11-08 18:00:00,28.4,-46.8,25,1010
2020-11-08 21:00:00,28.4,-46.4,25,1010
2020-11-09 00:00:00,28.5,-45.9,25,1010
2020-11-09 03:00:00,28.5,-45.4,28,1009
2020-11-09 06:00:00,28.6,-44.9,30,1007
2020-11-09 09:00:00,28.7,-44.3,33,1006
2020-11-09 12:00:00,28.8,-43.7,35,1005
2020-11-09 15:00:00,28.8,-43.1,38,1004
2020-11-09 18:00:00,28.8,-42.4,40,1003
2020-11-09 21:00:00,28.8,-41.7,45,1001
2020-11-10 00:00:00,28.8,-41.0,50,999
2020-11-10 03:00:00,28.8,-40.3,53,997
2020-11-10 06:00:00,28.8,-39.5,55,994
2020-11-10 09:00:00,28.8,-38.7,58,992
2020-11-10 12:00:00,28.9,-38.0,60,989
2020-11-10 15:00:00,28.9,-37.3,60,988
2020-11-10 18:00:00,29.0,-36.7,60,987
2020-11-10 21:00:00,29.1,-36.2,58,988
2020-11-11 00:00:00,29.2,-35.8,55,988
2020-11-11 03:00:00,29.3,-35.4,55,988
2020-11-11 06:00:00,29.4,-34.9,55,988
2020-11-11 09:00:00,29.5,-34.4,55,989
2020-11-11 12:00:00,29.6,-33.8,55,989
2020-11-11 15:00:00,29.9,-33.1,55,989
2020-11-11 18:00:00,30.3,-32.5,55,989
2020-11-11 21:00:00,30.7,-32.2,58,988
2020-11-12 00:00:00,31.1,-31.9,60,987
2020-11-12 03:00:00,31.4,-31.4,58,988
2020-11-12 06:00:00,31.5,-30.8,55,988
2020-11-12 09:00:00,31.5,-30.1,55,989
2020-11-12 12:00:00,31.5,-29.4,55,989
2020-11-12 15:00:00,31.6,-28.7,55,990
2020-11-12 18:00:00,31.7,-28.0,55,990
2020-11-12 21:00:00,31.8,-27.3,53,991
2020-11-13 00:00:00,31.9,-26.7,50,992
2020-11-13 03:00:00,31.9,-26.0,50,993
2020-11-13 06:00:00,31.9,-25.4,50,993
2020-11-13 09:00:00,31.9,-24.8,48,994
2020-11-13 12:00:00,31.9,-24.2,45,994
2020-11-13 15:00:00,31.9,-23.6,45,995
2020-11-13 18:00:00,32.0,-23.1,45,996
2020-11-13 21:00:00,32.0,-22.6,43,997
2020-11-14 00:00:00,32.0,-22.1,40,997
2020-11-14 03:00:00,32.0,-21.6,38,998
2020-11-14 06:00:00,31.9,-21.2,35,999
2020-11-14 09:00:00,31.8,-20.8,35,1000
2020-11-14 12:00:00,31.8,-20.4,35,1000
2020-11-14 15:00:00,31.7,-20.0,35,1001
2020-11-14 18:00:00,31.7,-19.6,35,1002
2020-11-14 21:00:00,31.7,-19.2,35,1003
2020-11-15 00:00:00,31.7,-18.9,35,1003
2020-11-15 03:00:00,31.7,-18.7,33,1004
2020-11-15 06:00:00,31.6,-18.5,30,1005
2020-11-15 09:00:00,31.5,-18.4,30,1007
2020-11-15 12:00:00,31.4,-18.3,30,1009
2020-11-15 15:00:00,31.4,-18.1,30,1011
2020-11-15 18:00:00,31.6,-18.0,30,1012
2020-11-15 21:00:00,31.8,-17.9,30,1013
2020-11-16 00:00:00,32.1,-17.9,30,1013
2020-11-16 03:00:00,32.4,-18.0,28,1014
2020-11-16 06:00:00,32.7,-18.2,25,1014
2020-11-16 09:00:00,33.0,-18.4,25,1014
2020-11-16 12:00:00,33.4,-18.6,25,1014
