time,lat,lon,vmax,mslp
2021-06-17 18:00:00,22.5,-92.2,25,1008
2021-06-17 21:00:00,23.0,-92.0,28,1008
2021-06-18 00:00:00,23.5,-91.8,30,1007
2021-06-18 03:00:00,24.0,-91.6,33,1007
2021-06-18 06:00:00,24.6,-91.4,35,1007
2021-06-18 09:00:00,25.2,-91.3,35,1007
2021-06-18 12:00:00,25.9,-91.2,35,1007
2021-06-18 15:00:00,26.6,-91.1,38,1007
2021-06-18 18:00:00,27.2,-91.1,40,1006
2021-06-18 21:00:00,27.8,-91.2,40,1006
2021-06-19 00:00:00,28.4,-91.2,40,1005
2021-06-19 03:00:00,28.9,-91.1,40,1004
2021-06-19 04:30:00,29.2,-91.0,40,1003
2021-06-19 06:00:00,29.5,-90.8,40,1003
2021-06-19 09:00:00,30.1,-90.4,38,1004
2021-06-19 12:00:00,30.6,-89.9,35,1004
2021-06-19 15:00:00,31.1,-89.4,33,1005
2021-06-19 18:00:00,31.5,-88.8,30,1005
2021-06-19 21:00:00,32.0,-88.3,28,1005
2021-06-20 00:00:00,32.4,-87.8,25,1005
2021-06-20 03:00:00,32.8,-87.2,25,1006
2021-06-20 06:00:00,33.1,-86.5,25,1006
2021-06-20 09:00:00,33.3,-85.7,25,1007
2021-06-20 12:00:00,33.5,-84.8,25,1007
2021-06-20 15:00:00,33.6,-84.0,25,1008
2021-06-20 18:00:00,33.8,-83.1,25,1008
2021-06-20 21:00:00,34.0,-82.2,28,1008
2021-06-21 00:00:00,34.2,-81.2,30,1007
2021-06-21 03:00:00,34.6,-80.2,35,1007
2021-06-21 06:00:00,35.0,-79.1,40,1006
2021-06-21 09:00:00,35.5,-77.9,40,1006
2021-06-21 12:00:00,36.0,-76.5,40,1005
2021-06-21 15:00:00,36.5,-75.0,40,1005
2021-06-21 18:00:00,37.0,-73.5,40,1004
2021-06-21 21:00:00,37.7,-72.1,40,1004
2021-06-22 00:00:00,38.4,-70.7,40,1004
2021-06-22 03:00:00,39.0,-69.2,40,1004
2021-06-22 06:00:00,39.7,-67.8,40,1004
2021-06-22 09:00:00,40.4,-66.5,40,1004
2021-06-22 12:00:00,41.2,-65.2,40,1004
2021-06-22 15:00:00,41.9,-63.8,40,1004
2021-06-22 18:00:00,42.6,-62.4,40,1004
2021-06-22 21:00:00,43.3,-61.0,38,1004
2021-06-23 00:00:00,44.1,-59.6,35,1004
