time,lat,lon,vmax,mslp
2021-06-30 18:00:00,9.4,-42.8,30,1008
2021-06-30 21:00:00,9.3,-44.1,33,1008
2021-07-01 00:00:00,9.3,-45.3,35,1007
2021-07-01 03:00:00,9.3,-46.5,35,1007
2021-07-01 06:00:00,9.4,-47.7,35,1006
2021-07-01 09:00:00,9.6,-49.0,38,1006
2021-07-01 12:00:00,9.9,-50.2,40,1005
2021-07-01 15:00:00,10.3,-51.4,43,1005
2021-07-01 18:00:00,10.7,-52.6,45,1004
2021-07-01 21:00:00,11.1,-53.8,48,1003
2021-07-02 00:00:00,11.5,-55.0,50,1002
2021-07-02 03:00:00,11.9,-56.1,53,1001
2021-07-02 06:00:00,12.3,-57.3,55,1000
2021-07-02 09:00:00,12.6,-58.5,60,998
2021-07-02 12:00:00,13.0,-59.8,65,995
2021-07-02 15:00:00,13.4,-61.1,70,993
2021-07-02 18:00:00,13.8,-62.4,75,991
2021-07-02 21:00:00,14.2,-63.7,73,993
2021-07-03 00:00:00,14.7,-65.1,70,995
2021-07-03 03:00:00,15.2,-66.5,68,997
2021-07-03 06:00:00,15.7,-67.9,65,998
2021-07-03 09:00:00,16.2,-69.1,63,999
2021-07-03 12:00:00,16.6,-70.3,60,1000
2021-07-03 15:00:00,16.9,-71.4,60,1001
2021-07-03 18:00:00,17.2,-72.5,60,1002
2021-07-03 21:00:00,17.4,-73.5,58,1003
2021-07-04 00:00:00,17.6,-74.4,55,1004
2021-07-04 03:00:00,17.8,-75.0,55,1005
2021-07-04 06:00:00,18.0,-75.5,55,1006
2021-07-04 09:00:00,18.2,-76.0,53,1007
2021-07-04 12:00:00,18.5,-76.5,50,1007
2021-07-04 15:00:00,18.9,-77.0,50,1007
2021-07-04 18:00:00,19.3,-77.6,50,1007
2021-07-04 21:00:00,19.7,-78.1,53,1006
2021-07-05 00:00:00,20.1,-78.6,55,1005
2021-07-05 03:00:00,20.4,-79.1,55,1005
2021-07-05 06:00:00,20.7,-79.6,55,1005
2021-07-05 09:00:00,21.0,-80.2,55,1005
2021-07-05 12:00:00,21.3,-80.7,55,1005
2021-07-05 15:00:00,21.6,-81.1,55,1005
2021-07-05 18:00:00,22.1,-81.5,55,1005
2021-07-05 18:30:00,22.2,-81.6,55,1005
2021-07-05 21:00:00,22.6,-81.9,53,1005
2021-07-06 00:00:00,22.9,-82.0,50,1005
2021-07-06 03:00:00,23.3,-82.2,50,1005
2021-07-06 06:00:00,23.7,-82.4,50,1005
2021-07-06 09:00:00,24.1,-82.6,53,1004
2021-07-06 12:00:00,24.6,-82.7,55,1003
2021-07-06 15:00:00,25.0,-82.8,58,1000
2021-07-06 18:00:00,25.5,-82.9,60,997
2021-07-06 21:00:00,26.0,-83.0,63,997
2021-07-07 00:00:00,26.6,-83.2,65,996
2021-07-07 03:00:00,27.2,-83.4,60,997
2021-07-07 06:00:00,27.8,-83.5,55,998
2021-07-07 09:00:00,28.4,-83.6,55,999
2021-07-07 12:00:00,29.1,-83.6,55,999
2021-07-07 14:30:00,29.8,-83.5,55,1000
2021-07-07 15:00:00,29.9,-83.5,54,1000
2021-07-07 18:00:00,30.3,-83.4,45,1002
2021-07-07 21:00:00,30.9,-83.1,45,1004
2021-07-08 00:00:00,31.5,-82.7,45,1005
2021-07-08 03:00:00,32.1,-82.3,43,1006
2021-07-08 06:00:00,32.8,-81.8,40,1006
2021-07-08 09:00:00,33.5,-81.2,40,1006
2021-07-08 12:00:00,34.2,-80.5,40,1006
2021-07-08 15:00:00,34.9,-79.8,43,1005
2021-07-08 18:00:00,35.5,-79.0,45,1004
2021-07-08 21:00:00,36.1,-78.2,45,1004
2021-07-09 00:00:00,36.8,-77.4,45,1003
2021-07-09 03:00:00,37.6,-76.5,48,1002
2021-07-09 06:00:00,38.4,-75.5,50,1001
2021-07-09 09:00:00,39.4,-74.3,50,1000
2021-07-09 12:00:00,40.3,-73.1,50,999
2021-07-09 15:00:00,40.9,-72.3,50,999
2021-07-09 16:30:00,41.4,-71.7,50,999
2021-07-09 18:00:00,42.0,-71.0,45,999
2021-07-09 21:00:00,43.0,-69.7,43,998
2021-07-10 00:00:00,44.0,-68.3,40,997
2021-07-10 03:00:00,45.3,-66.5,38,998
2021-07-10 06:00:00,46.8,-64.4,35,999
