time,lat,lon,vmax,mslp
2021-08-15 00:00:00,35.8,-63.4,25,1014
2021-08-15 03:00:00,35.6,-63.3,25,1013
2021-08-15 06:00:00,35.4,-63.1,25,1012
2021-08-15 09:00:00,35.1,-62.9,25,1012
2021-08-15 12:00:00,34.8,-62.8,25,1012
2021-08-15 15:00:00,34.5,-62.7,25,1012
2021-08-15 18:00:00,34.1,-62.7,25,1011
2021-08-15 21:00:00,33.8,-62.7,28,1011
2021-08-16 00:00:00,33.4,-62.7,30,1010
2021-08-16 03:00:00,33.0,-62.7,30,1010
2021-08-16 06:00:00,32.5,-62.7,30,1010
2021-08-16 09:00:00,32.0,-62.7,30,1010
2021-08-16 12:00:00,31.6,-62.7,30,1010
2021-08-16 15:00:00,31.3,-62.8,33,1010
2021-08-16 18:00:00,31.1,-62.9,35,1009
2021-08-16 21:00:00,30.9,-63.0,38,1009
2021-08-17 00:00:00,30.8,-63.1,40,1008
2021-08-17 03:00:00,30.7,-63.2,43,1006
2021-08-17 06:00:00,30.6,-63.3,45,1004
2021-08-17 09:00:00,30.5,-63.4,45,1004
2021-08-17 12:00:00,30.4,-63.6,45,1004
2021-08-17 15:00:00,30.3,-63.7,50,1002
2021-08-17 18:00:00,30.3,-63.9,55,1000
2021-08-17 21:00:00,30.2,-64.2,55,999
2021-08-18 00:00:00,30.2,-64.5,55,998
2021-08-18 03:00:00,30.1,-64.9,55,998
2021-08-18 06:00:00,30.1,-65.3,55,998
2021-08-18 09:00:00,30.0,-65.7,55,998
2021-08-18 12:00:00,30.0,-66.2,55,998
2021-08-18 15:00:00,30.0,-66.6,58,997
2021-08-18 18:00:00,29.9,-67.1,60,995
2021-08-18 21:00:00,29.8,-67.5,60,995
2021-08-19 00:00:00,29.7,-68.0,60,995
2021-08-19 03:00:00,29.6,-68.5,60,995
2021-08-19 06:00:00,29.5,-69.0,60,995
2021-08-19 09:00:00,29.5,-69.5,60,995
2021-08-19 12:00:00,29.5,-70.0,60,995
2021-08-19 15:00:00,29.5,-70.5,58,997
2021-08-19 18:00:00,29.6,-71.0,55,999
2021-08-19 21:00:00,29.6,-71.5,55,998
2021-08-20 00:00:00,29.7,-72.0,55,997
2021-08-20 03:00:00,29.8,-72.5,55,996
2021-08-20 06:00:00,29.9,-72.9,55,995
2021-08-20 09:00:00,30.0,-73.3,55,995
2021-08-20 12:00:00,30.1,-73.6,55,995
2021-08-20 15:00:00,30.4,-73.8,58,995
2021-08-20 18:00:00,30.8,-73.8,60,994
2021-08-20 21:00:00,31.2,-73.8,60,994
2021-08-21 00:00:00,31.6,-73.7,60,993
2021-08-21 03:00:00,32.0,-73.6,60,993
2021-08-21 06:00:00,32.5,-73.4,60,993
2021-08-21 09:00:00,33.0,-73.1,63,992
2021-08-21 12:00:00,33.6,-72.7,65,991
2021-08-21 15:00:00,34.4,-72.3,65,991
2021-08-21 18:00:00,35.4,-71.8,65,990
2021-08-21 21:00:00,36.5,-71.3,65,989
2021-08-22 00:00:00,37.6,-70.9,65,988
2021-08-22 03:00:00,38.6,-70.9,65,987
2021-08-22 06:00:00,39.4,-71.0,65,986
2021-08-22 09:00:00,40.1,-71.1,60,986
2021-08-22 12:00:00,40.7,-71.3,55,986
2021-08-22 15:00:00,41.2,-71.5,55,987
2021-08-22 15:20:00,41.2,-71.6,55,987
2021-08-22 16:15:00,41.3,-71.8,55,988
2021-08-22 18:00:00,41.5,-72.0,40,991
2021-08-22 21:00:00,41.7,-72.4,35,996
2021-08-23 00:00:00,41.8,-73.0,30,1000
2021-08-23 03:00:00,41.8,-73.8,28,1003
2021-08-23 06:00:00,41.7,-74.4,25,1005
2021-08-23 09:00:00,41.6,-74.4,25,1005
2021-08-23 12:00:00,41.6,-74.2,25,1005
2021-08-23 15:00:00,41.5,-74.1,25,1005
2021-08-23 18:00:00,41.5,-73.8,25,1005
2021-08-23 21:00:00,41.4,-73.3,23,1006
2021-08-24 00:00:00,41.4,-72.7,20,1006
2021-08-24 03:00:00,41.6,-72.0,20,1006
2021-08-24 06:00:00,41.9,-71.2,20,1006
2021-08-24 09:00:00,42.1,-70.5,20,1007
2021-08-24 12:00:00,42.2,-69.6,20,1007
2021-08-24 15:00:00,42.3,-68.5,23,1008
2021-08-24 18:00:00,42.3,-67.3,25,1008
