time,lat,lon,vmax,mslp
2021-08-26 12:00:00,16.5,-78.9,30,1006
2021-08-26 15:00:00,17.0,-79.2,33,1006
2021-08-26 18:00:00,17.4,-79.5,35,1006
2021-08-26 21:00:00,17.8,-79.8,38,1005
2021-08-27 00:00:00,18.3,-80.2,40,1004
2021-08-27 03:00:00,18.8,-80.5,43,1003
2021-08-27 06:00:00,19.4,-80.9,45,1002
2021-08-27 09:00:00,19.9,-81.3,50,999
2021-08-27 12:00:00,20.4,-81.7,55,996
2021-08-27 15:00:00,21.0,-82.2,63,992
2021-08-27 18:00:00,21.5,-82.6,70,987
2021-08-27 21:00:00,21.9,-82.6,70,988
2021-08-27 23:25:00,22.4,-83.2,70,988
2021-08-28 00:00:00,22.6,-83.5,70,989
2021-08-28 03:00:00,23.2,-84.4,70,988
2021-08-28 06:00:00,23.5,-84.7,70,987
2021-08-28 09:00:00,23.9,-85.2,70,987
2021-08-28 12:00:00,24.4,-85.7,70,986
2021-08-28 15:00:00,25.0,-86.2,75,981
2021-08-28 18:00:00,25.6,-86.6,80,976
2021-08-28 21:00:00,26.2,-87.1,85,972
2021-08-29 00:00:00,26.7,-87.6,90,967
2021-08-29 03:00:00,27.2,-88.2,103,959
2021-08-29 06:00:00,27.6,-88.7,115,950
2021-08-29 09:00:00,28.1,-89.2,123,940
2021-08-29 12:00:00,28.5,-89.6,130,929
2021-08-29 15:00:00,28.9,-89.9,130,930
2021-08-29 16:55:00,29.1,-90.2,130,931
2021-08-29 18:00:00,29.2,-90.4,125,932
2021-08-29 21:00:00,29.5,-90.6,115,938
2021-08-30 00:00:00,29.9,-90.6,105,944
2021-08-30 03:00:00,30.2,-90.7,85,961
2021-08-30 06:00:00,30.6,-90.8,65,978
2021-08-30 09:00:00,31.0,-90.9,53,985
2021-08-30 12:00:00,31.5,-90.9,40,992
2021-08-30 15:00:00,31.9,-90.7,38,994
2021-08-30 18:00:00,32.2,-90.5,35,996
2021-08-30 21:00:00,32.6,-90.3,33,996
2021-08-31 00:00:00,33.0,-90.0,30,996
2021-08-31 03:00:00,33.4,-89.7,28,996
2021-08-31 06:00:00,33.8,-89.4,25,996
2021-08-31 09:00:00,34.1,-89.0,25,996
2021-08-31 12:00:00,34.4,-88.4,25,996
2021-08-31 15:00:00,34.7,-87.8,23,998
2021-08-31 18:00:00,35.1,-87.1,20,999
2021-08-31 21:00:00,35.4,-86.3,20,1000
2021-09-01 00:00:00,35.8,-85.5,20,1000
2021-09-01 03:00:00,36.2,-84.6,20,1000
2021-09-01 06:00:00,36.7,-83.6,20,1000
2021-09-01 09:00:00,37.2,-82.6,23,1000
2021-09-01 12:00:00,37.7,-81.5,25,1000
2021-09-01 15:00:00,38.4,-80.1,28,1000
2021-09-01 18:00:00,39.0,-78.5,30,999
2021-09-01 21:00:00,39.4,-77.0,33,998
2021-09-02 00:00:00,39.8,-75.6,35,997
2021-09-02 03:00:00,40.2,-74.2,38,997
2021-09-02 06:00:00,40.6,-72.8,40,997
2021-09-02 09:00:00,40.9,-71.2,40,997
2021-09-02 12:00:00,41.4,-69.7,40,997
2021-09-02 15:00:00,42.2,-68.4,40,997
2021-09-02 18:00:00,43.3,-67.2,40,996
2021-09-02 21:00:00,44.4,-65.9,40,996
2021-09-03 00:00:00,45.4,-64.7,40,995
2021-09-03 03:00:00,46.1,-64.0,43,994
2021-09-03 06:00:00,46.6,-63.6,45,992
2021-09-03 09:00:00,47.1,-63.1,45,992
2021-09-03 12:00:00,47.5,-62.7,45,991
2021-09-03 15:00:00,48.1,-62.4,45,992
2021-09-03 18:00:00,48.6,-62.4,45,992
2021-09-03 21:00:00,48.8,-62.7,45,992
2021-09-04 00:00:00,48.8,-63.1,45,992
2021-09-04 03:00:00,48.8,-63.6,43,992
2021-09-04 06:00:00,48.7,-63.9,40,992
2021-09-04 09:00:00,48.2,-64.0,38,994
2021-09-04 12:00:00,47.6,-63.9,35,996
2021-09-04 15:00:00,47.1,-63.7,33,998
2021-09-04 18:00:00,46.6,-63.5,30,999
