time,lat,lon,vmax,mslp
2021-08-27 12:00:00,13.1,-47.3,25,1009
2021-08-27 15:00:00,13.2,-47.8,25,1009
2021-08-27 18:00:00,13.3,-48.4,25,1009
2021-08-27 21:00:00,13.4,-49.0,25,1009
2021-08-28 00:00:00,13.5,-49.5,25,1009
2021-08-28 03:00:00,13.6,-49.7,28,1009
2021-08-28 06:00:00,13.7,-49.8,30,1008
2021-08-28 09:00:00,14.1,-49.9,30,1008
2021-08-28 12:00:00,14.5,-50.0,30,1008
2021-08-28 15:00:00,14.8,-50.0,30,1008
2021-08-28 18:00:00,15.2,-50.0,30,1008
2021-08-28 21:00:00,15.7,-49.9,30,1008
2021-08-29 00:00:00,16.2,-49.9,30,1008
2021-08-29 03:00:00,16.7,-49.9,30,1008
2021-08-29 06:00:00,17.3,-50.0,30,1008
2021-08-29 09:00:00,17.9,-50.1,30,1008
2021-08-29 12:00:00,18.4,-50.2,30,1008
2021-08-29 15:00:00,18.8,-50.3,30,1008
2021-08-29 18:00:00,19.2,-50.3,30,1008
2021-08-29 21:00:00,19.5,-50.4,30,1008
2021-08-30 00:00:00,19.8,-50.5,30,1008
2021-08-30 03:00:00,20.1,-50.6,33,1007
2021-08-30 06:00:00,20.5,-50.6,35,1006
2021-08-30 09:00:00,20.9,-50.7,38,1005
2021-08-30 12:00:00,21.3,-50.8,40,1004
2021-08-30 15:00:00,21.7,-50.9,38,1005
2021-08-30 18:00:00,22.1,-50.9,35,1006
2021-08-30 21:00:00,22.4,-50.9,35,1006
2021-08-31 00:00:00,22.6,-50.9,35,1006
2021-08-31 03:00:00,22.7,-50.9,35,1006
2021-08-31 06:00:00,22.8,-50.9,35,1006
2021-08-31 09:00:00,23.0,-50.9,33,1007
2021-08-31 12:00:00,23.2,-50.9,30,1007
2021-08-31 15:00:00,23.5,-50.9,30,1007
2021-08-31 18:00:00,23.9,-50.9,30,1007
2021-08-31 21:00:00,24.3,-51.0,30,1007
2021-09-01 00:00:00,24.6,-51.2,30,1007
2021-09-01 03:00:00,24.9,-51.3,30,1008
2021-09-01 06:00:00,25.3,-51.5,30,1008
2021-09-01 09:00:00,25.9,-51.8,30,1009
2021-09-01 12:00:00,26.6,-52.3,30,1009
