time,lat,lon,vmax,mslp
2021-09-08 18:00:00,28.4,-86.8,35,1006
2021-09-08 21:00:00,29.0,-86.1,40,1004
2021-09-09 00:00:00,29.5,-85.4,45,1001
2021-09-09 01:15:00,29.7,-85.1,50,1000
2021-09-09 03:00:00,30.0,-84.7,44,1000
2021-09-09 06:00:00,30.5,-83.9,35,1001
2021-09-09 09:00:00,30.9,-82.9,33,1003
2021-09-09 12:00:00,31.2,-81.8,30,1005
2021-09-09 15:00:00,31.5,-80.6,30,1005
2021-09-09 18:00:00,31.7,-79.4,30,1005
2021-09-09 21:00:00,31.9,-78.1,30,1005
2021-09-10 00:00:00,32.1,-76.8,30,1005
2021-09-10 03:00:00,32.3,-75.4,30,1005
2021-09-10 06:00:00,32.6,-74.0,30,1005
2021-09-10 09:00:00,32.9,-72.8,30,1005
2021-09-10 12:00:00,33.2,-71.8,30,1005
2021-09-10 15:00:00,33.5,-70.8,30,1006
2021-09-10 18:00:00,33.7,-69.8,30,1006
