time,lat,lon,vmax,mslp
2021-09-12 12:00:00,21.0,-95.2,35,1008
2021-09-12 15:00:00,21.7,-95.4,35,1008
2021-09-12 18:00:00,22.4,-95.6,35,1008
2021-09-12 21:00:00,23.1,-95.8,38,1008
2021-09-13 00:00:00,23.7,-96.1,40,1007
2021-09-13 03:00:00,24.3,-96.3,45,1004
2021-09-13 06:00:00,24.8,-96.5,50,1001
2021-09-13 09:00:00,25.3,-96.6,50,1001
2021-09-13 12:00:00,25.9,-96.7,50,1000
2021-09-13 15:00:00,26.5,-96.7,53,999
2021-09-13 18:00:00,27.0,-96.6,55,998
2021-09-13 21:00:00,27.5,-96.4,60,993
2021-09-14 00:00:00,28.0,-96.2,65,988
2021-09-14 03:00:00,28.3,-95.9,65,990
2021-09-14 05:30:00,28.7,-95.7,65,991
2021-09-14 06:00:00,28.8,-95.7,65,991
2021-09-14 09:00:00,29.2,-95.6,58,995
2021-09-14 12:00:00,29.3,-95.4,50,999
2021-09-14 15:00:00,29.5,-95.2,43,1001
2021-09-14 18:00:00,29.6,-94.9,35,1003
2021-09-14 21:00:00,29.7,-94.7,33,1003
2021-09-15 00:00:00,29.9,-94.4,30,1003
2021-09-15 03:00:00,30.1,-94.1,30,1004
2021-09-15 06:00:00,30.2,-93.8,30,1004
2021-09-15 09:00:00,30.3,-93.5,28,1005
2021-09-15 12:00:00,30.3,-93.1,25,1006
2021-09-15 15:00:00,30.3,-92.7,25,1006
2021-09-15 18:00:00,30.2,-92.4,25,1006
2021-09-15 21:00:00,30.1,-92.1,25,1006
2021-09-16 00:00:00,29.9,-91.8,25,1006
2021-09-16 03:00:00,29.5,-91.6,23,1007
2021-09-16 06:00:00,29.3,-91.6,20,1007
2021-09-16 09:00:00,29.4,-91.6,20,1007
2021-09-16 12:00:00,29.7,-91.7,20,1007
2021-09-16 15:00:00,29.8,-91.9,20,1008
2021-09-16 18:00:00,29.9,-92.2,20,1009
2021-09-16 21:00:00,30.1,-92.4,18,1009
2021-09-17 00:00:00,30.3,-92.6,15,1009
2021-09-17 03:00:00,30.5,-92.8,15,1010
2021-09-17 06:00:00,30.8,-93.0,15,1010
