time,lat,lon,vmax,mslp
2021-09-19 00:00:00,10.4,-27.4,30,1008
2021-09-19 03:00:00,10.8,-27.6,30,1008
2021-09-19 06:00:00,11.3,-27.8,30,1008
2021-09-19 09:00:00,11.9,-28.1,30,1008
2021-09-19 12:00:00,12.6,-28.4,30,1008
2021-09-19 15:00:00,13.2,-28.9,33,1008
2021-09-19 18:00:00,13.8,-29.4,35,1007
2021-09-19 21:00:00,14.3,-30.0,35,1007
2021-09-20 00:00:00,14.7,-30.6,35,1007
2021-09-20 03:00:00,15.1,-31.2,35,1007
2021-09-20 06:00:00,15.6,-31.8,35,1007
2021-09-20 09:00:00,16.1,-32.4,35,1007
2021-09-20 12:00:00,16.7,-32.9,35,1007
2021-09-20 15:00:00,17.2,-33.5,38,1007
2021-09-20 18:00:00,17.7,-34.1,40,1006
2021-09-20 21:00:00,18.2,-34.7,45,1005
2021-09-21 00:00:00,18.8,-35.3,50,1004
2021-09-21 03:00:00,19.4,-35.7,45,1005
2021-09-21 06:00:00,20.0,-36.1,40,1006
2021-09-21 09:00:00,20.6,-36.4,38,1007
2021-09-21 12:00:00,21.1,-36.7,35,1007
2021-09-21 15:00:00,21.6,-37.0,35,1007
2021-09-21 18:00:00,22.1,-37.3,35,1007
2021-09-21 21:00:00,22.4,-37.5,35,1008
2021-09-22 00:00:00,22.7,-37.7,35,1008
2021-09-22 03:00:00,22.9,-37.9,33,1009
2021-09-22 06:00:00,23.1,-38.1,30,1009
2021-09-22 09:00:00,23.2,-38.4,30,1009
2021-09-22 12:00:00,23.4,-38.8,30,1009
2021-09-22 15:00:00,23.6,-39.2,30,1010
2021-09-22 18:00:00,23.8,-39.7,30,1010
2021-09-22 21:00:00,24.0,-40.2,30,1010
2021-09-23 00:00:00,24.2,-40.6,30,1010
2021-09-23 03:00:00,24.6,-41.0,30,1010
2021-09-23 06:00:00,25.0,-41.4,30,1010
2021-09-23 09:00:00,25.5,-41.7,28,1010
2021-09-23 12:00:00,26.0,-41.9,25,1010
2021-09-23 15:00:00,26.5,-42.0,25,1010
2021-09-23 18:00:00,27.0,-42.0,25,1010
2021-09-23 21:00:00,27.4,-42.0,25,1010
2021-09-24 00:00:00,27.8,-42.0,25,1010
2021-09-24 03:00:00,28.1,-41.9,25,1010
2021-09-24 06:00:00,28.3,-41.7,25,1010
