time,lat,lon,vmax,mslp
2021-09-24 06:00:00,31.4,-62.0,30,1011
2021-09-24 09:00:00,32.2,-62.4,33,1011
2021-09-24 12:00:00,32.8,-62.9,35,1010
2021-09-24 15:00:00,33.3,-63.5,38,1009
2021-09-24 18:00:00,33.6,-64.1,40,1008
2021-09-24 21:00:00,33.9,-64.6,40,1008
2021-09-25 00:00:00,34.1,-65.0,40,1008
2021-09-25 03:00:00,34.2,-65.3,38,1009
2021-09-25 06:00:00,34.3,-65.5,35,1009
2021-09-25 09:00:00,34.3,-65.4,33,1010
2021-09-25 12:00:00,34.3,-65.2,30,1010
2021-09-25 15:00:00,34.3,-64.9,30,1010
2021-09-25 18:00:00,34.3,-64.5,30,1010
2021-09-25 21:00:00,34.5,-64.2,30,1010
2021-09-26 00:00:00,34.7,-63.9,30,1010
2021-09-26 03:00:00,34.9,-63.6,30,1010
2021-09-26 06:00:00,35.2,-63.2,30,1010
2021-09-26 09:00:00,35.4,-62.6,28,1011
2021-09-26 12:00:00,35.6,-61.8,25,1011
