time,lat,lon,vmax,mslp
2021-09-29 00:00:00,7.0,-22.0,30,1008
2021-09-29 03:00:00,7.2,-22.5,30,1008
2021-09-29 06:00:00,7.4,-23.0,30,1007
2021-09-29 09:00:00,7.6,-23.6,30,1007
2021-09-29 12:00:00,7.8,-24.1,30,1006
2021-09-29 15:00:00,8.0,-24.6,33,1006
2021-09-29 18:00:00,8.1,-25.1,35,1005
2021-09-29 21:00:00,8.2,-25.5,35,1005
2021-09-30 00:00:00,8.3,-26.0,35,1005
2021-09-30 03:00:00,8.5,-26.5,38,1005
2021-09-30 06:00:00,8.7,-27.1,40,1004
2021-09-30 09:00:00,8.9,-27.8,40,1004
2021-09-30 12:00:00,9.2,-28.4,40,1003
2021-09-30 15:00:00,9.5,-29.0,43,1002
2021-09-30 18:00:00,9.8,-29.5,45,1001
2021-09-30 21:00:00,10.2,-30.0,48,1000
2021-10-01 00:00:00,10.5,-30.6,50,999
2021-10-01 03:00:00,10.8,-31.2,50,999
2021-10-01 06:00:00,11.0,-31.8,50,998
2021-10-01 09:00:00,11.2,-32.4,53,998
2021-10-01 12:00:00,11.4,-33.0,55,997
2021-10-01 15:00:00,11.6,-33.5,55,997
2021-10-01 18:00:00,11.8,-33.9,55,997
2021-10-01 21:00:00,11.9,-34.4,53,998
2021-10-02 00:00:00,12.1,-34.9,50,999
2021-10-02 03:00:00,12.3,-35.4,48,1000
2021-10-02 06:00:00,12.5,-35.8,45,1001
2021-10-02 09:00:00,12.6,-36.2,40,1003
2021-10-02 12:00:00,12.7,-36.7,35,1005
2021-10-02 15:00:00,13.0,-37.2,33,1006
2021-10-02 18:00:00,13.5,-37.7,30,1007
2021-10-02 21:00:00,14.0,-38.1,30,1007
2021-10-03 00:00:00,14.4,-38.4,30,1007
2021-10-03 03:00:00,14.8,-38.8,30,1007
2021-10-03 06:00:00,15.1,-39.2,30,1007
2021-10-03 09:00:00,15.4,-39.6,30,1007
2021-10-03 12:00:00,15.7,-40.0,30,1007
2021-10-03 15:00:00,16.1,-40.5,30,1007
2021-10-03 18:00:00,16.5,-41.0,30,1007
2021-10-03 21:00:00,16.9,-41.6,30,1007
2021-10-04 00:00:00,17.2,-42.1,30,1007
2021-10-04 03:00:00,17.5,-42.6,28,1008
2021-10-04 06:00:00,17.8,-43.1,25,1009
