time,lat,lon,vmax,mslp
2022-09-14 06:00:00,16.0,-47.9,25,1010
2022-09-14 09:00:00,16.2,-48.5,28,1010
2022-09-14 12:00:00,16.4,-49.1,30,1009
2022-09-14 15:00:00,16.5,-49.6,33,1008
2022-09-14 18:00:00,16.6,-50.1,35,1006
2022-09-14 21:00:00,16.6,-50.7,40,1004
2022-09-15 00:00:00,16.6,-51.3,45,1002
2022-09-15 03:00:00,16.6,-51.9,45,1002
2022-09-15 06:00:00,16.5,-52.4,45,1002
2022-09-15 09:00:00,16.4,-53.0,45,1002
2022-09-15 12:00:00,16.4,-53.6,45,1002
2022-09-15 15:00:00,16.4,-54.2,48,1004
2022-09-15 18:00:00,16.3,-54.8,50,1006
2022-09-15 21:00:00,16.2,-55.5,50,1006
2022-09-16 00:00:00,16.1,-56.2,50,1005
2022-09-16 03:00:00,15.9,-56.9,50,1005
2022-09-16 06:00:00,15.8,-57.5,50,1005
2022-09-16 09:00:00,15.7,-58.1,48,1005
2022-09-16 12:00:00,15.8,-58.8,45,1005
2022-09-16 15:00:00,16.0,-59.6,45,1005
2022-09-16 18:00:00,16.3,-60.4,45,1005
2022-09-16 21:00:00,16.4,-60.9,48,1003
2022-09-16 23:15:00,16.4,-61.4,50,1002
2022-09-17 00:00:00,16.4,-61.6,50,1002
2022-09-17 03:00:00,16.4,-62.2,50,1001
2022-09-17 06:00:00,16.3,-62.6,50,1000
2022-09-17 09:00:00,16.3,-63.0,50,1000
2022-09-17 12:00:00,16.4,-63.3,50,1000
2022-09-17 15:00:00,16.5,-63.6,50,1001
2022-09-17 18:00:00,16.5,-64.0,50,1002
2022-09-17 21:00:00,16.5,-64.3,50,1000
2022-09-18 00:00:00,16.5,-64.7,50,997
2022-09-18 03:00:00,16.7,-65.1,53,996
2022-09-18 06:00:00,16.9,-65.5,55,994
2022-09-18 09:00:00,17.0,-65.9,60,992
2022-09-18 12:00:00,17.2,-66.2,65,990
2022-09-18 15:00:00,17.4,-66.5,70,988
2022-09-18 18:00:00,17.8,-66.9,75,986
2022-09-18 19:20:00,18.0,-67.1,75,986
2022-09-18 21:00:00,18.1,-67.4,75,985
2022-09-19 00:00:00,18.1,-67.8,75,984
2022-09-19 03:00:00,18.1,-68.1,78,981
2022-09-19 06:00:00,18.2,-68.4,80,977
2022-09-19 07:30:00,18.4,-68.5,80,976
2022-09-19 09:00:00,18.6,-68.6,78,977
