time,lat,lon,vmax,mslp
2022-09-19 12:00:00,28.7,-46.3,25,1014
2022-09-19 15:00:00,29.2,-46.0,25,1014
2022-09-19 18:00:00,29.6,-45.8,25,1014
2022-09-19 21:00:00,30.0,-45.8,25,1014
2022-09-20 00:00:00,30.4,-45.8,25,1014
2022-09-20 03:00:00,30.8,-45.9,25,1014
2022-09-20 06:00:00,31.3,-45.9,25,1013
2022-09-20 09:00:00,31.9,-45.9,28,1013
2022-09-20 12:00:00,32.5,-45.8,30,1013
2022-09-20 15:00:00,33.2,-45.5,33,1011
2022-09-20 18:00:00,34.0,-45.0,35,1009
2022-09-20 21:00:00,34.8,-44.6,40,1007
2022-09-21 00:00:00,35.5,-44.1,45,1004
2022-09-21 03:00:00,36.2,-43.6,50,1002
2022-09-21 06:00:00,36.9,-43.1,55,999
2022-09-21 09:00:00,37.5,-42.6,55,999
2022-09-21 12:00:00,37.9,-42.0,55,998
2022-09-21 15:00:00,38.3,-41.4,55,998
2022-09-21 18:00:00,38.6,-40.7,55,998
2022-09-21 21:00:00,39.0,-39.7,55,998
2022-09-22 00:00:00,39.4,-38.6,55,998
2022-09-22 03:00:00,39.8,-37.5,55,998
2022-09-22 06:00:00,40.1,-36.5,55,998
2022-09-22 09:00:00,40.4,-35.6,55,997
2022-09-22 12:00:00,40.7,-34.8,55,996
2022-09-22 15:00:00,40.9,-33.9,55,995
2022-09-22 18:00:00,41.0,-33.1,55,994
2022-09-22 21:00:00,41.1,-32.3,55,995
2022-09-23 00:00:00,41.1,-31.5,55,995
2022-09-23 03:00:00,41.0,-30.7,55,995
2022-09-23 06:00:00,40.9,-30.1,55,995
2022-09-23 09:00:00,40.7,-29.6,55,995
2022-09-23 12:00:00,40.5,-29.2,55,995
2022-09-23 15:00:00,40.2,-28.9,53,996
2022-09-23 18:00:00,39.8,-28.8,50,997
2022-09-23 21:00:00,39.4,-28.9,48,998
2022-09-24 00:00:00,39.1,-29.2,45,999
2022-09-24 03:00:00,38.9,-29.4,45,1000
2022-09-24 06:00:00,38.7,-29.7,45,1000
2022-09-24 09:00:00,38.4,-30.0,43,1001
2022-09-24 12:00:00,38.2,-30.4,40,1001
2022-09-24 15:00:00,38.0,-30.9,43,1000
2022-09-24 18:00:00,38.0,-31.4,45,998
2022-09-24 21:00:00,38.1,-32.0,45,998
2022-09-25 00:00:00,38.4,-32.7,45,998
2022-09-25 03:00:00,38.6,-33.4,45,999
2022-09-25 06:00:00,38.9,-34.1,45,999
2022-09-25 09:00:00,39.2,-34.9,45,999
2022-09-25 12:00:00,39.4,-35.7,45,999
2022-09-25 15:00:00,39.4,-36.4,43,1000
2022-09-25 18:00:00,39.2,-37.0,40,1000
2022-09-25 21:00:00,39.0,-37.4,38,1004
2022-09-26 00:00:00,38.8,-37.7,35,1007
2022-09-26 03:00:00,38.6,-38.1,35,1009
2022-09-26 06:00:00,38.5,-38.5,35,1010
2022-09-26 09:00:00,38.4,-38.9,33,1011
2022-09-26 12:00:00,38.4,-39.4,30,1011
2022-09-26 15:00:00,38.3,-39.9,30,1012
2022-09-26 18:00:00,38.2,-40.4,30,1012
2022-09-26 21:00:00,38.1,-40.9,30,1012
2022-09-27 00:00:00,38.0,-41.5,30,1012
2022-09-27 03:00:00,37.8,-42.1,30,1013
2022-09-27 06:00:00,37.6,-42.8,30,1013
2022-09-27 09:00:00,37.4,-43.5,28,1014
2022-09-27 12:00:00,37.2,-44.2,25,1014
2022-09-27 15:00:00,37.1,-45.0,25,1015
2022-09-27 18:00:00,37.0,-45.9,25,1015
