time,lat,lon,vmax,mslp
2022-09-22 18:00:00,12.3,-66.3,30,1006
2022-09-22 21:00:00,12.6,-66.8,30,1006
2022-09-23 00:00:00,12.9,-67.2,30,1006
2022-09-23 03:00:00,13.3,-67.6,30,1006
2022-09-23 06:00:00,13.7,-68.1,30,1006
2022-09-23 09:00:00,14.0,-68.7,30,1006
2022-09-23 12:00:00,14.2,-69.3,30,1006
2022-09-23 15:00:00,14.4,-70.0,30,1006
2022-09-23 18:00:00,14.6,-70.6,30,1006
2022-09-23 21:00:00,14.7,-71.2,33,1006
2022-09-24 00:00:00,14.7,-71.7,35,1005
2022-09-24 03:00:00,14.7,-72.3,35,1005
2022-09-24 06:00:00,14.7,-72.9,35,1005
2022-09-24 09:00:00,14.6,-73.6,38,1004
2022-09-24 12:00:00,14.5,-74.4,40,1003
2022-09-24 15:00:00,14.4,-75.1,40,1003
2022-09-24 18:00:00,14.4,-75.8,40,1003
2022-09-24 21:00:00,14.5,-76.5,40,1003
2022-09-25 00:00:00,14.6,-77.2,40,1003
2022-09-25 03:00:00,14.6,-77.8,40,1003
2022-09-25 06:00:00,14.6,-78.3,40,1003
2022-09-25 09:00:00,14.7,-78.9,40,1003
2022-09-25 12:00:00,15.0,-79.4,40,1003
2022-09-25 15:00:00,15.4,-79.8,40,1003
2022-09-25 18:00:00,15.8,-80.1,40,1003
2022-09-25 21:00:00,16.3,-80.5,45,997
2022-09-26 00:00:00,16.8,-80.9,50,991
2022-09-26 03:00:00,17.2,-81.3,58,988
2022-09-26 06:00:00,17.7,-81.7,65,985
2022-09-26 09:00:00,18.2,-82.1,68,983
2022-09-26 12:00:00,18.7,-82.4,70,981
2022-09-26 15:00:00,19.2,-82.7,75,979
2022-09-26 18:00:00,19.7,-83.0,80,976
2022-09-26 21:00:00,20.2,-83.2,83,971
2022-09-27 00:00:00,20.8,-83.3,85,965
2022-09-27 03:00:00,21.3,-83.5,93,961
2022-09-27 06:00:00,21.8,-83.6,100,956
2022-09-27 08:30:00,22.2,-83.7,110,947
2022-09-27 09:00:00,22.3,-83.7,109,949
2022-09-27 12:00:00,22.6,-83.6,100,963
2022-09-27 15:00:00,23.0,-83.5,103,957
2022-09-27 18:00:00,23.5,-83.3,105,951
2022-09-27 21:00:00,24.0,-83.2,105,949
2022-09-28 00:00:00,24.4,-83.0,105,947
2022-09-28 02:00:00,24.6,-82.9,110,952
2022-09-28 03:00:00,24.7,-82.9,112,950
2022-09-28 06:00:00,25.2,-82.9,120,945
2022-09-28 09:00:00,25.6,-82.8,130,941
2022-09-28 12:00:00,26.0,-82.7,140,937
2022-09-28 15:00:00,26.3,-82.7,138,938
2022-09-28 18:00:00,26.6,-82.4,135,938
2022-09-28 19:05:00,26.7,-82.2,130,941
2022-09-28 20:35:00,26.8,-82.0,125,945
2022-09-28 21:00:00,26.8,-82.0,122,947
2022-09-29 00:00:00,27.2,-81.7,100,960
2022-09-29 03:00:00,27.5,-81.4,83,973
2022-09-29 06:00:00,27.7,-81.1,65,985
2022-09-29 09:00:00,28.0,-80.8,63,986
2022-09-29 12:00:00,28.4,-80.6,60,987
2022-09-29 15:00:00,28.6,-80.4,63,987
2022-09-29 18:00:00,28.9,-80.1,65,986
2022-09-29 21:00:00,29.2,-79.7,68,986
2022-09-30 00:00:00,29.6,-79.4,70,986
2022-09-30 03:00:00,29.9,-79.2,73,985
2022-09-30 06:00:00,30.3,-79.1,75,984
2022-09-30 09:00:00,30.8,-79.0,75,982
2022-09-30 12:00:00,31.5,-79.0,75,980
2022-09-30 15:00:00,32.7,-79.1,73,979
2022-09-30 18:00:00,33.3,-79.2,70,978
2022-09-30 18:05:00,33.3,-79.2,70,978
2022-09-30 21:00:00,33.7,-79.2,60,984
2022-10-01 00:00:00,34.4,-79.3,50,990
2022-10-01 03:00:00,34.9,-79.5,40,995
2022-10-01 06:00:00,35.3,-79.7,30,999
