time,lat,lon,vmax,mslp
2022-10-30 18:00:00,34.2,-64.0,40,1006
2022-10-30 21:00:00,34.4,-63.6,43,1005
2022-10-31 00:00:00,34.6,-63.1,45,1004
2022-10-31 03:00:00,34.8,-62.6,45,1004
2022-10-31 06:00:00,34.9,-62.2,45,1004
2022-10-31 09:00:00,35.0,-61.9,43,1004
2022-10-31 12:00:00,35.0,-61.6,40,1004
2022-10-31 15:00:00,35.0,-61.3,40,1004
2022-10-31 18:00:00,35.0,-60.9,40,1004
2022-10-31 21:00:00,35.0,-60.3,38,1004
2022-11-01 00:00:00,35.1,-59.6,35,1004
2022-11-01 03:00:00,35.2,-58.7,35,1003
2022-11-01 06:00:00,35.2,-57.9,35,1002
2022-11-01 09:00:00,35.3,-57.3,38,1000
2022-11-01 12:00:00,35.3,-56.7,40,998
2022-11-01 15:00:00,35.3,-56.1,43,996
2022-11-01 18:00:00,35.3,-55.4,45,993
2022-11-01 21:00:00,35.2,-54.8,48,992
2022-11-02 00:00:00,35.1,-54.2,50,991
2022-11-02 03:00:00,35.0,-53.7,53,990
2022-11-02 06:00:00,35.0,-53.0,55,989
2022-11-02 09:00:00,35.0,-52.0,60,986
2022-11-02 12:00:00,35.1,-50.9,65,983
2022-11-02 15:00:00,35.5,-49.9,70,979
2022-11-02 18:00:00,36.1,-48.9,75,974
2022-11-02 21:00:00,37.0,-47.7,75,972
2022-11-03 00:00:00,38.0,-46.4,75,970
2022-11-03 03:00:00,39.0,-45.2,75,968
2022-11-03 06:00:00,40.3,-43.6,75,965
2022-11-03 09:00:00,41.8,-41.3,75,963
2022-11-03 12:00:00,43.7,-38.8,75,960
2022-11-03 15:00:00,46.3,-36.5,75,955
2022-11-03 18:00:00,49.0,-35.3,75,950
2022-11-03 21:00:00,51.1,-36.3,73,949
2022-11-04 00:00:00,52.7,-38.0,70,947
2022-11-04 03:00:00,53.9,-38.1,68,942
2022-11-04 06:00:00,54.7,-37.7,65,936
2022-11-04 09:00:00,55.3,-37.5,63,934
2022-11-04 12:00:00,55.8,-37.2,60,932
2022-11-04 15:00:00,56.2,-36.9,58,936
2022-11-04 18:00:00,56.5,-36.5,55,939
