time,lat,lon,vmax,mslp
2022-11-06 12:00:00,20.6,-66.8,30,1005
2022-11-06 15:00:00,21.5,-66.7,33,1005
2022-11-06 18:00:00,22.4,-66.8,35,1005
2022-11-06 21:00:00,23.2,-67.1,35,1005
2022-11-07 00:00:00,23.9,-67.5,35,1005
2022-11-07 03:00:00,24.6,-67.8,38,1005
2022-11-07 06:00:00,25.2,-68.2,40,1004
2022-11-07 09:00:00,25.6,-68.7,40,1003
2022-11-07 12:00:00,25.9,-69.3,40,1002
2022-11-07 15:00:00,26.2,-69.9,40,1002
2022-11-07 18:00:00,26.4,-70.3,40,1001
2022-11-07 21:00:00,26.6,-70.5,40,1000
2022-11-08 00:00:00,26.8,-70.7,40,998
2022-11-08 03:00:00,27.2,-70.9,40,997
2022-11-08 06:00:00,27.5,-71.2,40,996
2022-11-08 09:00:00,27.7,-71.6,43,995
2022-11-08 12:00:00,27.7,-72.1,45,993
2022-11-08 15:00:00,27.7,-72.7,48,992
2022-11-08 18:00:00,27.6,-73.3,50,991
2022-11-08 21:00:00,27.4,-73.8,55,988
2022-11-09 00:00:00,27.2,-74.3,60,984
2022-11-09 03:00:00,27.0,-74.8,60,985
2022-11-09 06:00:00,26.8,-75.3,60,986
2022-11-09 09:00:00,26.6,-75.7,58,986
2022-11-09 12:00:00,26.5,-76.2,55,985
2022-11-09 15:00:00,26.5,-76.7,58,985
2022-11-09 17:00:00,26.5,-77.1,60,985
2022-11-09 18:00:00,26.5,-77.3,60,985
2022-11-09 21:00:00,26.5,-77.8,63,982
2022-11-09 23:00:00,26.6,-78.2,65,980
2022-11-10 00:00:00,26.7,-78.4,65,980
2022-11-10 03:00:00,27.0,-79.0,65,980
2022-11-10 06:00:00,27.3,-79.8,65,980
2022-11-10 07:45:00,27.6,-80.3,65,980
2022-11-10 09:00:00,27.7,-80.7,62,981
2022-11-10 12:00:00,28.0,-81.6,55,984
2022-11-10 15:00:00,28.4,-82.2,48,987
2022-11-10 18:00:00,29.0,-82.8,40,989
2022-11-10 19:00:00,29.2,-83.0,40,989
2022-11-10 21:00:00,29.6,-83.4,38,990
2022-11-11 00:00:00,30.1,-84.0,35,992
2022-11-11 03:00:00,30.6,-84.4,33,994
2022-11-11 06:00:00,31.2,-84.6,30,996
2022-11-11 09:00:00,32.1,-84.7,28,998
2022-11-11 12:00:00,33.2,-84.6,25,999
2022-11-11 15:00:00,34.3,-84.3,25,1000
2022-11-11 18:00:00,35.4,-83.8,25,1000
