time,lat,lon,vmax,mslp
2023-07-11 12:00:00,36.5,-55.5,25,1013
2023-07-11 15:00:00,36.6,-55.3,25,1013
2023-07-11 18:00:00,36.6,-55.0,25,1013
2023-07-11 21:00:00,36.5,-54.7,25,1012
2023-07-12 00:00:00,36.2,-54.4,25,1011
2023-07-12 03:00:00,35.8,-54.0,25,1010
2023-07-12 06:00:00,35.3,-53.6,25,1009
2023-07-12 09:00:00,34.7,-53.1,25,1009
2023-07-12 12:00:00,34.0,-52.6,25,1009
2023-07-12 15:00:00,33.4,-52.2,28,1009
2023-07-12 18:00:00,32.9,-51.9,30,1008
2023-07-12 21:00:00,32.4,-51.5,30,1008
2023-07-13 00:00:00,32.0,-51.0,30,1007
2023-07-13 03:00:00,31.6,-50.6,30,1007
2023-07-13 06:00:00,31.3,-50.2,30,1006
2023-07-13 09:00:00,31.2,-49.5,33,1005
2023-07-13 12:00:00,31.2,-48.7,35,1004
2023-07-13 15:00:00,31.4,-47.9,38,1004
2023-07-13 18:00:00,31.7,-47.3,40,1003
2023-07-13 21:00:00,32.1,-46.9,43,1003
2023-07-14 00:00:00,32.5,-46.7,45,1002
2023-07-14 03:00:00,32.7,-46.7,45,1002
2023-07-14 06:00:00,32.9,-46.8,45,1002
2023-07-14 09:00:00,33.2,-46.9,43,1003
2023-07-14 12:00:00,33.4,-47.0,40,1004
2023-07-14 15:00:00,33.6,-47.1,40,1004
2023-07-14 18:00:00,33.8,-47.2,40,1004
2023-07-14 21:00:00,34.0,-47.2,40,1004
2023-07-15 00:00:00,34.3,-47.2,40,1004
2023-07-15 03:00:00,34.8,-47.4,40,1005
2023-07-15 06:00:00,35.3,-47.7,40,1005
2023-07-15 09:00:00,35.8,-48.1,40,1006
2023-07-15 12:00:00,36.2,-48.4,40,1006
2023-07-15 15:00:00,36.7,-48.6,38,1007
2023-07-15 18:00:00,37.1,-48.7,35,1007
2023-07-15 21:00:00,37.5,-48.8,35,1007
2023-07-16 00:00:00,37.8,-48.8,35,1007
2023-07-16 03:00:00,38.1,-48.8,35,1007
2023-07-16 06:00:00,38.4,-48.7,35,1007
2023-07-16 09:00:00,38.7,-48.7,33,1008
2023-07-16 12:00:00,38.9,-48.5,30,1009
2023-07-16 15:00:00,39.2,-48.1,30,1010
2023-07-16 18:00:00,39.4,-47.5,30,1010
2023-07-16 21:00:00,39.5,-47.0,30,1010
2023-07-17 00:00:00,39.5,-46.4,30,1010
2023-07-17 03:00:00,39.4,-45.7,30,1010
2023-07-17 06:00:00,39.3,-45.0,30,1010
2023-07-17 09:00:00,39.1,-44.3,30,1010
2023-07-17 12:00:00,38.9,-43.6,30,1010
2023-07-17 15:00:00,38.7,-42.9,30,1010
2023-07-17 18:00:00,38.4,-42.2,30,1010
2023-07-17 21:00:00,38.1,-41.5,33,1009
2023-07-18 00:00:00,37.8,-40.9,35,1008
2023-07-18 03:00:00,37.3,-40.3,35,1008
2023-07-18 06:00:00,36.8,-39.9,35,1008
2023-07-18 09:00:00,36.4,-39.6,35,1008
2023-07-18 12:00:00,36.0,-39.4,35,1008
2023-07-18 15:00:00,35.6,-39.3,35,1008
2023-07-18 18:00:00,35.3,-39.2,35,1008
2023-07-18 21:00:00,34.9,-39.1,35,1008
2023-07-19 00:00:00,34.6,-39.1,35,1008
2023-07-19 03:00:00,34.4,-39.1,35,1008
2023-07-19 06:00:00,34.2,-39.1,35,1008
2023-07-19 09:00:00,34.0,-39.2,35,1008
2023-07-19 12:00:00,33.9,-39.3,35,1008
2023-07-19 15:00:00,33.8,-39.6,38,1007
2023-07-19 18:00:00,33.8,-39.9,40,1005
2023-07-19 21:00:00,33.8,-40.2,43,1003
2023-07-20 00:00:00,33.8,-40.6,45,1001
2023-07-20 03:00:00,33.9,-40.9,45,1001
2023-07-20 06:00:00,34.0,-41.3,45,1001
2023-07-20 09:00:00,34.1,-41.7,43,1003
2023-07-20 12:00:00,34.3,-42.2,40,1004
2023-07-20 15:00:00,34.4,-42.8,40,1004
2023-07-20 18:00:00,34.5,-43.3,40,1004
2023-07-20 21:00:00,34.5,-43.8,40,1004
2023-07-21 00:00:00,34.6,-44.2,40,1004
2023-07-21 03:00:00,34.8,-44.6,40,1004
2023-07-21 06:00:00,35.0,-45.1,40,1004
2023-07-21 09:00:00,35.2,-45.5,43,1003
2023-07-21 12:00:00,35.4,-46.0,45,1001
2023-07-21 15:00:00,35.8,-46.5,45,1001
2023-07-21 18:00:00,36.2,-47.0,45,1001
2023-07-21 21:00:00,36.6,-47.6,45,1001
2023-07-22 00:00:00,36.9,-48.2,45,1001
2023-07-22 03:00:00,37.3,-48.8,45,1001
2023-07-22 06:00:00,37.7,-49.3,45,1001
2023-07-22 09:00:00,38.1,-49.7,50,998
2023-07-22 12:00:00,38.5,-49.9,55,995
2023-07-22 15:00:00,39.0,-50.1,60,991
2023-07-22 18:00:00,39.5,-50.1,65,986
2023-07-22 21:00:00,40.1,-50.1,65,986
2023-07-23 00:00:00,40.7,-49.9,65,986
2023-07-23 03:00:00,41.3,-49.7,63,988
2023-07-23 06:00:00,42.0,-49.4,60,989
2023-07-23 09:00:00,42.6,-49.0,58,991
2023-07-23 12:00:00,43.3,-48.5,55,992
2023-07-23 15:00:00,44.0,-48.0,53,994
2023-07-23 18:00:00,44.7,-47.3,50,996
2023-07-23 21:00:00,45.3,-46.5,48,999
2023-07-24 00:00:00,45.9,-45.7,45,1002
2023-07-24 03:00:00,46.3,-44.9,43,1004
2023-07-24 06:00:00,46.7,-44.1,40,1005
2023-07-24 09:00:00,47.0,-43.0,40,1005
2023-07-24 12:00:00,47.3,-41.9,40,1005
2023-07-24 15:00:00,47.5,-40.8,40,1005
2023-07-24 18:00:00,47.8,-39.7,40,1005
2023-07-24 21:00:00,48.1,-38.3,38,1007
2023-07-25 00:00:00,48.5,-36.8,35,1008
2023-07-25 03:00:00,48.8,-35.3,35,1008
2023-07-25 06:00:00,49.1,-33.7,35,1008
2023-07-25 09:00:00,49.4,-31.7,33,1009
2023-07-25 12:00:00,49.8,-29.4,30,1010
2023-07-25 15:00:00,50.1,-27.0,30,1010
2023-07-25 18:00:00,50.4,-24.5,30,1010
