time,lat,lon,vmax,mslp
2023-08-18 12:00:00,15.4,-32.9,30,1009
2023-08-18 15:00:00,15.5,-33.4,30,1009
2023-08-18 18:00:00,15.5,-33.9,30,1008
2023-08-18 21:00:00,15.5,-34.4,30,1008
2023-08-19 00:00:00,15.6,-34.8,30,1007
2023-08-19 03:00:00,15.7,-35.1,30,1007
2023-08-19 06:00:00,15.8,-35.3,30,1006
2023-08-19 09:00:00,16.1,-35.5,30,1006
2023-08-19 12:00:00,16.4,-35.7,30,1006
2023-08-19 15:00:00,16.8,-35.9,30,1006
2023-08-19 18:00:00,17.2,-36.1,30,1006
2023-08-19 21:00:00,17.6,-36.4,33,1005
2023-08-20 00:00:00,18.0,-36.7,35,1004
2023-08-20 03:00:00,18.4,-37.1,38,1003
2023-08-20 06:00:00,18.8,-37.5,40,1001
2023-08-20 09:00:00,19.1,-37.9,43,1000
2023-08-20 12:00:00,19.4,-38.3,45,998
2023-08-20 15:00:00,19.7,-38.7,45,998
2023-08-20 18:00:00,20.0,-39.0,45,998
2023-08-20 21:00:00,20.2,-39.4,43,999
2023-08-21 00:00:00,20.3,-39.8,40,1000
2023-08-21 03:00:00,20.4,-40.2,38,1002
2023-08-21 06:00:00,20.6,-40.6,35,1003
2023-08-21 09:00:00,20.8,-41.0,35,1004
2023-08-21 12:00:00,21.0,-41.4,35,1004
2023-08-21 15:00:00,21.2,-41.8,33,1005
2023-08-21 18:00:00,21.4,-42.2,30,1005
2023-08-21 21:00:00,21.6,-42.6,30,1006
2023-08-22 00:00:00,21.9,-43.1,30,1006
2023-08-22 03:00:00,22.2,-43.6,30,1006
2023-08-22 06:00:00,22.5,-44.1,30,1006
2023-08-22 09:00:00,22.9,-44.6,30,1006
2023-08-22 12:00:00,23.4,-45.1,30,1006
2023-08-22 15:00:00,23.9,-45.6,30,1006
2023-08-22 18:00:00,24.4,-46.1,30,1006
2023-08-22 21:00:00,24.9,-46.6,33,1006
2023-08-23 00:00:00,25.3,-47.2,35,1006
2023-08-23 03:00:00,25.7,-47.8,35,1006
2023-08-23 06:00:00,26.1,-48.4,35,1006
2023-08-23 09:00:00,26.5,-48.9,35,1006
2023-08-23 12:00:00,26.9,-49.2,35,1006
2023-08-23 15:00:00,27.3,-49.5,35,1006
2023-08-23 18:00:00,27.8,-49.6,35,1006
2023-08-23 21:00:00,28.2,-49.7,35,1006
2023-08-24 00:00:00,28.6,-49.6,35,1006
2023-08-24 03:00:00,29.0,-49.4,35,1006
2023-08-24 06:00:00,29.3,-49.2,35,1006
2023-08-24 09:00:00,29.5,-49.0,35,1007
2023-08-24 12:00:00,29.8,-48.9,35,1008
2023-08-24 15:00:00,30.1,-48.8,33,1009
2023-08-24 18:00:00,30.5,-48.7,30,1010
2023-08-24 21:00:00,30.9,-48.6,30,1010
2023-08-25 00:00:00,31.4,-48.6,30,1010
2023-08-25 03:00:00,31.9,-48.6,30,1010
2023-08-25 06:00:00,32.4,-48.6,30,1010
