time,lat,lon,vmax,mslp
2023-08-19 18:00:00,12.8,-60.5,25,1006
2023-08-19 21:00:00,12.9,-61.3,25,1006
2023-08-20 00:00:00,13.1,-62.1,25,1006
2023-08-20 03:00:00,13.3,-62.9,28,1005
2023-08-20 06:00:00,13.5,-63.7,30,1004
2023-08-20 09:00:00,13.7,-64.5,33,1003
2023-08-20 12:00:00,14.0,-65.2,35,1002
2023-08-20 15:00:00,14.3,-65.9,38,1002
2023-08-20 18:00:00,14.5,-66.6,40,1001
2023-08-20 21:00:00,14.7,-67.3,43,1000
2023-08-21 00:00:00,14.8,-67.9,45,999
2023-08-21 03:00:00,14.8,-68.4,45,999
2023-08-21 06:00:00,14.8,-68.8,45,999
2023-08-21 09:00:00,14.7,-69.2,45,999
2023-08-21 12:00:00,14.6,-69.5,45,999
2023-08-21 15:00:00,14.3,-69.8,45,1001
2023-08-21 18:00:00,14.1,-70.0,45,1002
2023-08-21 21:00:00,14.0,-70.2,45,1002
2023-08-22 00:00:00,14.0,-70.4,45,1002
2023-08-22 03:00:00,14.0,-70.7,43,1002
2023-08-22 06:00:00,14.1,-70.9,40,1002
2023-08-22 09:00:00,14.4,-71.0,40,1003
2023-08-22 12:00:00,14.8,-71.1,40,1003
2023-08-22 15:00:00,15.2,-71.2,38,1003
2023-08-22 18:00:00,15.6,-71.3,35,1003
2023-08-22 21:00:00,16.0,-71.4,35,1003
2023-08-23 00:00:00,16.5,-71.4,35,1003
2023-08-23 03:00:00,16.9,-71.4,38,1003
2023-08-23 06:00:00,17.3,-71.4,40,1003
2023-08-23 09:00:00,17.7,-71.3,40,1003
2023-08-23 10:00:00,17.9,-71.2,40,1003
2023-08-23 12:00:00,18.3,-71.1,40,1005
2023-08-23 15:00:00,18.9,-70.9,38,1005
2023-08-23 18:00:00,19.4,-70.8,35,1004
2023-08-23 21:00:00,20.0,-70.7,38,1005
2023-08-24 00:00:00,20.6,-70.6,40,1005
2023-08-24 03:00:00,21.2,-70.6,43,1003
2023-08-24 06:00:00,21.6,-70.5,45,1001
2023-08-24 09:00:00,21.9,-70.3,48,1000
2023-08-24 12:00:00,22.0,-70.0,50,998
2023-08-24 15:00:00,22.1,-69.7,50,999
2023-08-24 18:00:00,22.2,-69.3,50,1000
2023-08-24 21:00:00,22.3,-68.9,50,1000
2023-08-25 00:00:00,22.4,-68.5,50,1000
2023-08-25 03:00:00,22.3,-68.3,50,1000
2023-08-25 06:00:00,22.2,-68.1,50,1000
2023-08-25 09:00:00,22.0,-68.0,48,1002
2023-08-25 12:00:00,21.9,-67.9,45,1003
2023-08-25 15:00:00,21.8,-67.6,45,1003
2023-08-25 18:00:00,21.8,-67.3,45,1003
2023-08-25 21:00:00,22.0,-66.9,48,1003
2023-08-26 00:00:00,22.2,-66.5,50,1002
2023-08-26 03:00:00,22.4,-66.2,53,997
2023-08-26 06:00:00,22.6,-66.0,55,992
2023-08-26 09:00:00,22.9,-66.2,60,991
2023-08-26 12:00:00,23.2,-66.5,65,989
2023-08-26 15:00:00,23.4,-66.9,68,986
2023-08-26 18:00:00,23.5,-67.3,70,982
2023-08-26 21:00:00,23.7,-67.6,73,980
2023-08-27 00:00:00,23.9,-67.9,75,977
2023-08-27 03:00:00,24.1,-68.2,75,975
2023-08-27 06:00:00,24.4,-68.5,75,973
2023-08-27 09:00:00,24.6,-68.8,78,972
2023-08-27 12:00:00,24.9,-69.1,80,970
2023-08-27 15:00:00,25.2,-69.4,80,969
2023-08-27 18:00:00,25.5,-69.7,80,967
2023-08-27 21:00:00,25.7,-70.0,83,966
2023-08-28 00:00:00,26.0,-70.3,85,964
2023-08-28 03:00:00,26.3,-70.5,93,958
2023-08-28 06:00:00,26.7,-70.6,100,951
2023-08-28 09:00:00,27.1,-70.8,113,944
2023-08-28 12:00:00,27.5,-70.9,125,937
2023-08-28 15:00:00,27.9,-71.0,125,934
2023-08-28 18:00:00,28.2,-71.1,125,931
2023-08-28 21:00:00,28.5,-71.1,128,929
2023-08-29 00:00:00,28.9,-71.1,130,926
2023-08-29 03:00:00,29.3,-71.1,125,931
2023-08-29 06:00:00,29.7,-71.0,120,935
2023-08-29 09:00:00,30.0,-70.9,118,938
2023-08-29 12:00:00,30.3,-70.7,115,941
2023-08-29 15:00:00,30.7,-70.5,113,944
2023-08-29 18:00:00,31.1,-70.2,110,947
2023-08-29 21:00:00,31.4,-69.9,105,950
2023-08-30 00:00:00,31.8,-69.5,100,953
2023-08-30 03:00:00,32.2,-69.1,98,955
2023-08-30 06:00:00,32.6,-68.7,95,956
2023-08-30 09:00:00,32.9,-68.3,95,957
2023-08-30 12:00:00,33.2,-67.8,95,958
2023-08-30 15:00:00,33.6,-67.3,93,959
2023-08-30 18:00:00,33.9,-66.7,90,960
2023-08-30 21:00:00,34.2,-66.0,90,961
2023-08-31 00:00:00,34.4,-65.2,90,961
2023-08-31 03:00:00,34.6,-64.5,88,962
2023-08-31 06:00:00,34.7,-63.9,85,963
2023-08-31 09:00:00,34.9,-63.3,85,964
2023-08-31 12:00:00,35.1,-62.6,85,964
2023-08-31 15:00:00,35.3,-61.9,83,967
2023-08-31 18:00:00,35.6,-61.1,80,969
2023-08-31 21:00:00,36.0,-60.4,78,972
2023-09-01 00:00:00,36.4,-59.7,75,975
2023-09-01 03:00:00,36.9,-59.0,73,977
2023-09-01 06:00:00,37.4,-58.2,70,978
2023-09-01 09:00:00,37.8,-57.4,68,980
2023-09-01 12:00:00,38.2,-56.6,65,982
2023-09-01 15:00:00,38.5,-55.7,68,981
2023-09-01 18:00:00,38.8,-54.6,70,979
2023-09-01 21:00:00,39.1,-53.4,70,979
2023-09-02 00:00:00,39.6,-52.0,70,979
2023-09-02 03:00:00,40.3,-50.4,70,980
2023-09-02 06:00:00,41.2,-48.8,70,980
2023-09-02 09:00:00,42.1,-47.3,68,981
2023-09-02 12:00:00,43.0,-45.9,65,981
2023-09-02 15:00:00,44.0,-44.6,65,982
2023-09-02 18:00:00,44.8,-43.4,65,982
2023-09-02 21:00:00,45.4,-42.2,65,983
2023-09-03 00:00:00,45.8,-41.0,65,984
2023-09-03 03:00:00,46.1,-39.9,63,985
2023-09-03 06:00:00,46.4,-38.7,60,986
2023-09-03 09:00:00,46.7,-37.5,58,987
2023-09-03 12:00:00,47.0,-36.2,55,988
2023-09-03 15:00:00,47.4,-34.8,55,989
2023-09-03 18:00:00,47.7,-33.4,55,990
2023-09-03 21:00:00,47.8,-32.1,53,991
2023-09-04 00:00:00,47.8,-30.8,50,991
2023-09-04 03:00:00,47.7,-29.6,48,992
2023-09-04 06:00:00,47.5,-28.6,45,993
