time,lat,lon,vmax,mslp
2023-08-21 12:00:00,24.7,-89.2,25,1008
2023-08-21 15:00:00,24.8,-90.0,28,1008
2023-08-21 18:00:00,25.0,-90.8,30,1008
2023-08-21 21:00:00,25.2,-91.6,30,1008
2023-08-22 00:00:00,25.4,-92.4,30,1008
2023-08-22 03:00:00,25.6,-93.3,35,1006
2023-08-22 06:00:00,25.8,-94.3,40,1003
2023-08-22 09:00:00,26.3,-95.3,45,1000
2023-08-22 12:00:00,26.8,-96.4,50,996
2023-08-22 15:00:00,27.1,-97.4,50,995
2023-08-22 18:00:00,27.3,-98.3,40,997
2023-08-22 21:00:00,27.5,-99.2,35,1000
2023-08-23 00:00:00,27.7,-100.1,30,1002
2023-08-23 03:00:00,28.0,-100.9,28,1005
2023-08-23 06:00:00,28.5,-101.7,25,1007
2023-08-23 09:00:00,29.1,-102.5,23,1009
2023-08-23 12:00:00,29.7,-103.3,20,1011
