time,lat,lon,vmax,mslp
2023-08-26 12:00:00,20.8,-86.1,25,1006
2023-08-26 15:00:00,21.1,-86.1,25,1006
2023-08-26 18:00:00,21.3,-86.2,25,1006
2023-08-26 21:00:00,21.3,-86.3,28,1005
2023-08-27 00:00:00,21.1,-86.4,30,1004
2023-08-27 03:00:00,20.8,-86.7,30,1003
2023-08-27 06:00:00,20.5,-86.8,30,1002
2023-08-27 09:00:00,20.2,-86.6,33,1001
2023-08-27 12:00:00,19.9,-86.3,35,999
2023-08-27 15:00:00,19.9,-86.0,38,998
2023-08-27 18:00:00,19.9,-85.8,40,996
2023-08-27 21:00:00,19.8,-85.6,43,994
2023-08-28 00:00:00,19.8,-85.4,45,992
2023-08-28 03:00:00,19.8,-85.3,50,991
2023-08-28 06:00:00,19.9,-85.2,55,989
2023-08-28 09:00:00,20.2,-85.2,55,989
2023-08-28 12:00:00,20.6,-85.2,55,989
2023-08-28 15:00:00,20.9,-85.2,58,988
2023-08-28 18:00:00,21.2,-85.2,60,986
2023-08-28 21:00:00,21.5,-85.2,60,985
2023-08-29 00:00:00,21.8,-85.1,60,984
2023-08-29 03:00:00,22.2,-85.1,63,983
2023-08-29 06:00:00,22.6,-85.0,65,981
2023-08-29 09:00:00,23.1,-84.9,68,980
2023-08-29 12:00:00,23.8,-84.8,70,978
2023-08-29 15:00:00,24.5,-84.8,75,976
2023-08-29 18:00:00,25.3,-84.8,80,973
2023-08-29 21:00:00,26.1,-84.8,85,969
2023-08-30 00:00:00,26.9,-84.7,90,965
2023-08-30 03:00:00,27.6,-84.7,98,955
2023-08-30 06:00:00,28.3,-84.5,105,945
2023-08-30 09:00:00,29.1,-84.1,115,942
2023-08-30 11:45:00,29.9,-83.6,100,950
2023-08-30 12:00:00,30.0,-83.5,100,954
2023-08-30 15:00:00,30.9,-82.8,80,968
2023-08-30 18:00:00,31.5,-82.5,60,981
2023-08-30 21:00:00,32.2,-81.8,55,983
2023-08-31 00:00:00,32.7,-80.9,50,985
2023-08-31 03:00:00,33.2,-79.9,50,988
2023-08-31 06:00:00,33.5,-78.9,50,990
2023-08-31 09:00:00,33.7,-78.0,53,990
2023-08-31 12:00:00,33.7,-77.0,55,990
2023-08-31 15:00:00,33.7,-75.8,55,992
2023-08-31 18:00:00,33.6,-74.6,55,993
2023-08-31 21:00:00,33.5,-73.4,55,995
2023-09-01 00:00:00,33.4,-72.3,55,996
2023-09-01 03:00:00,33.1,-71.4,53,997
2023-09-01 06:00:00,32.7,-70.5,50,997
2023-09-01 09:00:00,32.5,-69.6,50,998
2023-09-01 12:00:00,32.3,-68.8,50,998
2023-09-01 15:00:00,32.2,-67.9,50,999
2023-09-01 18:00:00,32.1,-67.1,50,999
2023-09-01 21:00:00,32.0,-66.3,50,999
2023-09-02 00:00:00,31.9,-65.7,50,999
2023-09-02 03:00:00,31.8,-65.2,50,999
2023-09-02 06:00:00,31.8,-64.7,50,999
2023-09-02 09:00:00,31.8,-64.3,50,999
2023-09-02 12:00:00,31.8,-63.9,50,998
2023-09-02 15:00:00,31.8,-63.5,50,998
2023-09-02 18:00:00,31.8,-63.1,50,997
2023-09-02 21:00:00,31.9,-62.7,50,997
2023-09-03 00:00:00,32.0,-62.2,50,996
2023-09-03 03:00:00,32.2,-61.7,50,995
2023-09-03 06:00:00,32.5,-61.3,50,994
2023-09-03 09:00:00,32.9,-60.9,50,993
2023-09-03 12:00:00,33.4,-60.5,50,992
2023-09-03 15:00:00,34.1,-60.1,53,991
2023-09-03 18:00:00,34.9,-59.7,55,990
2023-09-03 21:00:00,35.6,-59.3,58,989
2023-09-04 00:00:00,36.2,-58.9,60,988
2023-09-04 03:00:00,36.9,-58.4,60,987
2023-09-04 06:00:00,37.6,-58.0,60,985
2023-09-04 09:00:00,38.4,-57.7,58,985
2023-09-04 12:00:00,39.2,-57.5,55,985
2023-09-04 15:00:00,39.9,-57.6,55,986
2023-09-04 18:00:00,40.5,-57.9,55,986
2023-09-04 21:00:00,40.9,-58.3,53,986
2023-09-05 00:00:00,41.1,-58.7,50,986
2023-09-05 03:00:00,41.3,-58.9,50,986
2023-09-05 06:00:00,41.6,-59.1,50,986
2023-09-05 09:00:00,41.9,-59.2,48,986
2023-09-05 12:00:00,42.2,-59.3,45,986
2023-09-05 15:00:00,42.4,-59.5,43,987
2023-09-05 18:00:00,42.6,-59.8,40,987
2023-09-05 21:00:00,42.6,-60.1,38,988
2023-09-06 00:00:00,42.6,-60.5,35,988
2023-09-06 03:00:00,42.6,-61.0,35,990
2023-09-06 06:00:00,42.6,-61.4,35,991
2023-09-06 09:00:00,42.6,-61.7,35,992
2023-09-06 12:00:00,42.6,-62.0,35,992
2023-09-06 15:00:00,42.6,-62.4,35,993
2023-09-06 18:00:00,42.6,-62.8,35,994
2023-09-06 21:00:00,42.7,-63.0,33,995
2023-09-07 00:00:00,42.9,-62.9,30,996
2023-09-07 03:00:00,43.0,-62.6,30,997
2023-09-07 06:00:00,43.0,-62.1,30,998
2023-09-07 09:00:00,43.1,-61.6,30,999
2023-09-07 12:00:00,43.2,-61.1,30,1000
2023-09-07 15:00:00,43.4,-60.6,30,1001
2023-09-07 18:00:00,43.6,-60.1,30,1001
2023-09-07 21:00:00,43.9,-59.7,30,1002
2023-09-08 00:00:00,44.3,-59.3,30,1002
2023-09-08 03:00:00,44.7,-58.8,30,1003
2023-09-08 06:00:00,45.2,-58.3,30,1003
