time,lat,lon,vmax,mslp
2023-08-29 00:00:00,27.7,-51.7,30,1014
2023-08-29 03:00:00,27.7,-51.6,30,1014
2023-08-29 06:00:00,27.7,-51.5,30,1013
2023-08-29 09:00:00,27.8,-51.5,30,1013
2023-08-29 12:00:00,27.9,-51.5,30,1012
2023-08-29 15:00:00,28.0,-51.6,30,1012
2023-08-29 18:00:00,28.0,-51.8,30,1012
2023-08-29 21:00:00,28.0,-52.0,30,1012
2023-08-30 00:00:00,28.0,-52.1,30,1011
2023-08-30 03:00:00,28.0,-52.1,30,1011
2023-08-30 06:00:00,28.1,-52.1,30,1010
2023-08-30 09:00:00,28.1,-52.1,30,1010
2023-08-30 12:00:00,28.1,-52.1,30,1010
2023-08-30 15:00:00,28.1,-52.1,30,1010
2023-08-30 18:00:00,28.2,-52.1,30,1010
2023-08-30 21:00:00,28.2,-52.1,33,1010
2023-08-31 00:00:00,28.3,-52.1,35,1009
2023-08-31 03:00:00,28.4,-52.1,38,1008
2023-08-31 06:00:00,28.6,-52.1,40,1006
2023-08-31 09:00:00,28.9,-52.1,43,1005
2023-08-31 12:00:00,29.3,-52.1,45,1004
2023-08-31 15:00:00,29.8,-52.2,48,1002
2023-08-31 18:00:00,30.4,-52.3,50,999
2023-08-31 21:00:00,31.0,-52.4,53,998
2023-09-01 00:00:00,31.6,-52.5,55,996
2023-09-01 03:00:00,32.2,-52.5,55,996
2023-09-01 06:00:00,32.9,-52.4,55,996
2023-09-01 09:00:00,33.8,-52.0,53,997
2023-09-01 12:00:00,34.9,-51.4,50,997
2023-09-01 15:00:00,36.1,-50.6,50,997
2023-09-01 18:00:00,37.4,-49.8,50,997
