time,lat,lon,vmax,mslp
2024-09-08 18:00:00,21.4,-94.5,45,1003
2024-09-08 21:00:00,21.7,-94.7,45,1003
2024-09-09 00:00:00,22.0,-94.8,45,1003
2024-09-09 03:00:00,22.4,-94.9,45,1003
2024-09-09 06:00:00,22.7,-95.1,45,1003
2024-09-09 09:00:00,23.0,-95.3,45,1003
2024-09-09 12:00:00,23.2,-95.5,45,1002
2024-09-09 15:00:00,23.5,-95.7,48,999
2024-09-09 18:00:00,23.7,-95.9,50,996
2024-09-09 21:00:00,23.8,-96.0,53,994
2024-09-10 00:00:00,23.9,-96.1,55,992
2024-09-10 03:00:00,24.0,-96.2,55,992
2024-09-10 06:00:00,24.1,-96.2,55,992
2024-09-10 09:00:00,24.3,-96.0,55,991
2024-09-10 12:00:00,24.5,-95.8,55,990
2024-09-10 15:00:00,24.9,-95.6,55,989
2024-09-10 18:00:00,25.3,-95.3,55,987
2024-09-10 21:00:00,25.7,-95.0,60,985
2024-09-11 00:00:00,26.0,-94.7,65,982
2024-09-11 03:00:00,26.3,-94.4,73,980
2024-09-11 06:00:00,26.6,-94.1,80,977
2024-09-11 09:00:00,27.0,-93.7,80,977
2024-09-11 12:00:00,27.5,-93.2,80,976
2024-09-11 15:00:00,28.0,-92.7,83,975
2024-09-11 18:00:00,28.6,-92.1,85,974
2024-09-11 21:00:00,29.1,-91.5,89,973
2024-09-11 22:00:00,29.3,-91.3,90,972
2024-09-12 00:00:00,29.6,-90.9,70,980
2024-09-12 03:00:00,30.0,-90.5,58,984
2024-09-12 06:00:00,30.5,-90.3,45,988
2024-09-12 09:00:00,31.1,-90.2,38,992
2024-09-12 12:00:00,31.8,-90.1,30,995
2024-09-12 15:00:00,32.6,-89.8,28,996
2024-09-12 18:00:00,33.4,-89.7,25,996
2024-09-12 21:00:00,34.1,-90.0,25,997
2024-09-13 00:00:00,34.7,-90.5,25,998
2024-09-13 03:00:00,35.1,-90.7,23,1000
2024-09-13 06:00:00,35.4,-90.9,20,1001
2024-09-13 09:00:00,35.7,-91.2,18,1003
2024-09-13 12:00:00,35.9,-91.5,15,1005
2024-09-13 15:00:00,35.9,-91.8,15,1007
2024-09-13 18:00:00,35.7,-92.0,15,1009
2024-09-13 21:00:00,35.3,-91.9,15,1009
2024-09-14 00:00:00,34.9,-91.7,15,1009
