time,lat,lon,vmax,mslp
2024-09-24 12:00:00,38.7,-58.4,40,1003
2024-09-24 15:00:00,38.7,-58.5,40,1003
2024-09-24 18:00:00,38.6,-58.6,40,1002
2024-09-24 21:00:00,38.4,-58.7,43,1000
2024-09-25 00:00:00,38.1,-58.8,45,998
2024-09-25 03:00:00,37.7,-58.8,45,998
2024-09-25 06:00:00,37.3,-58.5,45,998
2024-09-25 09:00:00,37.1,-57.9,45,998
2024-09-25 12:00:00,37.0,-57.2,45,998
2024-09-25 15:00:00,36.9,-56.4,45,998
2024-09-25 18:00:00,36.9,-55.7,45,998
2024-09-25 21:00:00,36.9,-55.1,45,998
2024-09-26 00:00:00,37.0,-54.5,45,997
2024-09-26 03:00:00,37.0,-53.9,45,997
2024-09-26 06:00:00,37.1,-53.4,45,997
2024-09-26 09:00:00,37.1,-52.8,45,997
2024-09-26 12:00:00,37.2,-52.3,45,997
2024-09-26 15:00:00,37.3,-51.8,48,995
2024-09-26 18:00:00,37.3,-51.2,50,992
2024-09-26 21:00:00,37.3,-50.6,53,990
2024-09-27 00:00:00,37.2,-50.1,55,988
2024-09-27 03:00:00,37.1,-49.6,58,987
2024-09-27 06:00:00,37.1,-49.1,60,985
2024-09-27 09:00:00,37.1,-48.4,63,983
2024-09-27 12:00:00,37.1,-47.7,65,981
2024-09-27 15:00:00,37.3,-47.0,70,979
2024-09-27 18:00:00,37.5,-46.2,75,976
2024-09-27 21:00:00,37.7,-45.3,80,971
2024-09-28 00:00:00,38.0,-44.4,85,965
2024-09-28 03:00:00,38.4,-43.4,88,964
2024-09-28 06:00:00,38.8,-42.3,90,963
2024-09-28 09:00:00,39.2,-41.3,90,963
2024-09-28 12:00:00,39.7,-40.4,90,963
2024-09-28 15:00:00,40.1,-39.7,88,964
2024-09-28 18:00:00,40.6,-39.1,85,965
2024-09-28 21:00:00,41.1,-38.5,80,966
2024-09-29 00:00:00,41.5,-38.0,75,967
2024-09-29 03:00:00,41.9,-37.5,73,968
2024-09-29 06:00:00,42.3,-37.0,70,969
2024-09-29 09:00:00,42.7,-36.5,68,970
2024-09-29 12:00:00,43.0,-36.1,65,971
2024-09-29 15:00:00,43.4,-35.6,63,972
2024-09-29 18:00:00,43.7,-35.1,60,973
2024-09-29 21:00:00,43.9,-34.5,58,975
2024-09-30 00:00:00,44.1,-33.8,55,976
2024-09-30 03:00:00,44.3,-32.9,55,977
2024-09-30 06:00:00,44.4,-32.0,55,978
2024-09-30 09:00:00,44.5,-31.1,53,979
2024-09-30 12:00:00,44.7,-30.1,50,980
2024-09-30 15:00:00,44.9,-29.0,48,982
2024-09-30 18:00:00,45.2,-28.0,45,983
2024-09-30 21:00:00,45.6,-27.1,45,985
2024-10-01 00:00:00,46.1,-26.3,45,987
2024-10-01 03:00:00,46.6,-25.6,45,989
2024-10-01 06:00:00,47.0,-25.1,45,991
2024-10-01 09:00:00,47.4,-24.7,45,992
2024-10-01 12:00:00,47.8,-24.4,45,993
2024-10-01 15:00:00,48.1,-24.0,43,994
2024-10-01 18:00:00,48.4,-23.7,40,995
2024-10-01 21:00:00,48.8,-23.3,40,996
2024-10-02 00:00:00,49.1,-23.0,40,996
2024-10-02 03:00:00,49.4,-22.7,40,996
2024-10-02 06:00:00,49.7,-22.5,40,996
2024-10-02 09:00:00,50.0,-22.3,40,997
2024-10-02 12:00:00,50.4,-22.1,40,997
2024-10-02 15:00:00,50.8,-21.9,40,997
2024-10-02 18:00:00,51.2,-21.6,40,997
2024-10-02 21:00:00,51.6,-21.3,40,998
2024-10-03 00:00:00,51.9,-21.0,40,998
