time,lat,lon,vmax,mslp
2024-10-01 00:00:00,10.2,-24.4,25,1008
2024-10-01 03:00:00,10.2,-24.6,25,1008
2024-10-01 06:00:00,10.3,-24.8,25,1007
2024-10-01 09:00:00,10.4,-25.1,25,1007
2024-10-01 12:00:00,10.5,-25.4,25,1007
2024-10-01 15:00:00,10.6,-25.7,28,1007
2024-10-01 18:00:00,10.6,-26.0,30,1007
2024-10-01 21:00:00,10.7,-26.3,30,1007
2024-10-02 00:00:00,10.7,-26.7,30,1007
2024-10-02 03:00:00,10.7,-27.1,30,1007
2024-10-02 06:00:00,10.7,-27.6,30,1007
2024-10-02 09:00:00,10.7,-28.1,30,1007
2024-10-02 12:00:00,10.6,-28.5,30,1006
2024-10-02 15:00:00,10.5,-28.9,30,1006
2024-10-02 18:00:00,10.5,-29.3,30,1006
2024-10-02 21:00:00,10.4,-29.6,33,1006
2024-10-03 00:00:00,10.4,-29.8,35,1005
2024-10-03 03:00:00,10.4,-30.0,38,1004
2024-10-03 06:00:00,10.3,-30.2,40,1002
2024-10-03 09:00:00,10.2,-30.4,43,1002
2024-10-03 12:00:00,10.1,-30.7,45,1001
2024-10-03 15:00:00,10.0,-31.0,45,1001
2024-10-03 18:00:00,9.9,-31.3,45,1001
2024-10-03 21:00:00,9.8,-31.5,48,1000
2024-10-04 00:00:00,9.8,-31.7,50,999
2024-10-04 03:00:00,9.8,-31.9,50,999
2024-10-04 06:00:00,9.8,-32.2,50,998
2024-10-04 09:00:00,9.8,-32.4,53,998
2024-10-04 12:00:00,9.9,-32.7,55,997
2024-10-04 15:00:00,10.0,-33.0,58,996
2024-10-04 18:00:00,10.1,-33.3,60,994
2024-10-04 21:00:00,10.2,-33.6,63,992
2024-10-05 00:00:00,10.3,-33.9,65,990
2024-10-05 03:00:00,10.4,-34.2,68,988
2024-10-05 06:00:00,10.5,-34.5,70,986
2024-10-05 09:00:00,10.7,-34.8,70,986
2024-10-05 12:00:00,10.9,-35.1,70,986
2024-10-05 15:00:00,11.1,-35.4,70,986
2024-10-05 18:00:00,11.3,-35.7,70,985
2024-10-05 21:00:00,11.5,-36.1,73,984
2024-10-06 00:00:00,11.8,-36.4,75,983
2024-10-06 03:00:00,12.1,-36.7,78,982
2024-10-06 06:00:00,12.4,-36.9,80,980
2024-10-06 09:00:00,12.7,-37.2,80,980
2024-10-06 12:00:00,13.0,-37.6,80,980
2024-10-06 15:00:00,13.3,-37.9,80,980
2024-10-06 18:00:00,13.7,-38.2,80,980
2024-10-06 21:00:00,14.1,-38.6,80,980
2024-10-07 00:00:00,14.5,-39.1,80,980
2024-10-07 03:00:00,14.8,-39.6,78,982
2024-10-07 06:00:00,15.2,-40.0,75,983
2024-10-07 09:00:00,15.6,-40.4,73,984
2024-10-07 12:00:00,16.0,-40.9,70,985
2024-10-07 15:00:00,16.4,-41.4,68,987
2024-10-07 18:00:00,16.8,-41.9,65,989
2024-10-07 21:00:00,17.2,-42.5,63,991
2024-10-08 00:00:00,17.6,-43.0,60,992
2024-10-08 03:00:00,18.0,-43.5,60,992
2024-10-08 06:00:00,18.3,-44.0,60,992
2024-10-08 09:00:00,18.6,-44.6,60,992
2024-10-08 12:00:00,19.0,-45.1,60,992
2024-10-08 15:00:00,19.4,-45.6,63,991
2024-10-08 18:00:00,19.7,-46.1,65,989
2024-10-08 21:00:00,20.0,-46.5,68,988
2024-10-09 00:00:00,20.3,-46.8,70,987
2024-10-09 03:00:00,20.6,-47.2,73,986
2024-10-09 06:00:00,20.9,-47.5,75,984
2024-10-09 09:00:00,21.2,-47.9,78,983
2024-10-09 12:00:00,21.4,-48.2,80,981
2024-10-09 15:00:00,21.7,-48.4,83,978
2024-10-09 18:00:00,21.9,-48.6,85,974
2024-10-09 21:00:00,22.1,-48.8,88,972
2024-10-10 00:00:00,22.3,-49.0,90,970
2024-10-10 03:00:00,22.5,-49.3,88,972
2024-10-10 06:00:00,22.6,-49.7,85,974
2024-10-10 09:00:00,22.7,-50.0,80,977
2024-10-10 12:00:00,22.9,-50.2,75,980
2024-10-10 15:00:00,23.2,-50.5,70,985
2024-10-10 18:00:00,23.5,-50.8,65,990
2024-10-10 21:00:00,23.8,-51.0,60,994
2024-10-11 00:00:00,24.1,-51.1,55,997
2024-10-11 03:00:00,24.5,-51.1,53,998
2024-10-11 06:00:00,24.9,-51.1,50,999
2024-10-11 09:00:00,25.3,-51.0,48,1000
2024-10-11 12:00:00,25.8,-50.8,45,1000
2024-10-11 15:00:00,26.4,-50.5,45,1000
2024-10-11 18:00:00,27.0,-50.0,45,1000
2024-10-11 21:00:00,27.6,-49.5,45,1001
2024-10-12 00:00:00,28.4,-48.8,45,1001
2024-10-12 03:00:00,29.3,-48.0,45,1002
2024-10-12 06:00:00,30.4,-47.1,45,1002
