time,lat,lon,vmax,mslp
2024-10-04 18:00:00,21.0,-94.6,30,1009
2024-10-04 21:00:00,20.8,-94.9,30,1009
2024-10-05 00:00:00,20.8,-95.2,30,1008
2024-10-05 03:00:00,21.0,-95.3,30,1008
2024-10-05 06:00:00,21.4,-95.4,30,1008
2024-10-05 09:00:00,21.7,-95.5,30,1008
2024-10-05 12:00:00,22.0,-95.5,30,1008
2024-10-05 15:00:00,22.3,-95.5,33,1007
2024-10-05 18:00:00,22.5,-95.5,35,1006
2024-10-05 21:00:00,22.6,-95.5,35,1005
2024-10-06 00:00:00,22.7,-95.5,35,1004
2024-10-06 03:00:00,22.7,-95.4,40,1002
2024-10-06 06:00:00,22.6,-95.2,45,999
2024-10-06 09:00:00,22.5,-95.0,50,995
2024-10-06 12:00:00,22.5,-94.8,55,991
2024-10-06 15:00:00,22.5,-94.5,63,989
2024-10-06 18:00:00,22.5,-94.1,70,986
2024-10-06 21:00:00,22.5,-93.7,73,984
2024-10-07 00:00:00,22.5,-93.4,75,981
2024-10-07 03:00:00,22.3,-93.1,83,977
2024-10-07 06:00:00,22.1,-92.9,90,972
2024-10-07 09:00:00,21.9,-92.6,105,958
2024-10-07 12:00:00,21.8,-92.2,120,943
2024-10-07 15:00:00,21.7,-91.8,135,926
2024-10-07 18:00:00,21.7,-91.3,150,908
2024-10-07 20:00:00,21.8,-90.9,155,895
2024-10-07 21:00:00,21.8,-90.7,153,897
2024-10-08 00:00:00,21.8,-90.4,145,902
2024-10-08 03:00:00,21.8,-89.9,135,914
2024-10-08 06:00:00,21.9,-89.5,125,925
2024-10-08 09:00:00,22.2,-89.1,125,927
2024-10-08 12:00:00,22.5,-88.8,125,929
2024-10-08 15:00:00,22.5,-88.4,133,923
2024-10-08 18:00:00,22.5,-88.0,140,916
2024-10-08 21:00:00,22.7,-87.4,144,906
2024-10-08 22:05:00,22.8,-87.2,145,902
2024-10-09 00:00:00,23.0,-86.9,140,908
2024-10-09 02:05:00,23.3,-86.6,135,916
2024-10-09 03:00:00,23.4,-86.5,136,914
2024-10-09 06:00:00,23.8,-85.9,140,909
2024-10-09 08:25:00,24.3,-85.4,140,907
2024-10-09 09:00:00,24.4,-85.3,139,909
2024-10-09 12:00:00,25.0,-84.8,135,919
2024-10-09 15:00:00,25.7,-84.4,125,932
2024-10-09 18:00:00,26.3,-84.0,115,945
2024-10-09 21:00:00,26.8,-83.4,110,951
2024-10-10 00:00:00,27.3,-82.7,105,956
2024-10-10 00:30:00,27.4,-82.6,100,958
2024-10-10 03:00:00,27.8,-82.1,86,966
2024-10-10 06:00:00,28.1,-81.3,70,975
2024-10-10 09:00:00,28.6,-80.4,68,979
2024-10-10 12:00:00,29.0,-79.5,65,983
2024-10-10 15:00:00,29.3,-78.6,63,984
2024-10-10 18:00:00,29.5,-77.5,60,984
2024-10-10 21:00:00,29.5,-76.3,60,985
2024-10-11 00:00:00,29.5,-75.0,60,986
2024-10-11 03:00:00,29.5,-73.7,58,990
2024-10-11 06:00:00,29.5,-72.4,55,993
2024-10-11 09:00:00,29.5,-70.9,55,995
2024-10-11 12:00:00,29.5,-69.3,55,997
2024-10-11 15:00:00,29.4,-67.6,53,998
2024-10-11 18:00:00,29.3,-65.9,50,999
