time,lat,lon,vmax,mslp
2024-11-03 18:00:00,12.7,-77.0,30,1004
2024-11-03 21:00:00,13.1,-76.9,30,1004
2024-11-04 00:00:00,13.5,-76.8,30,1004
2024-11-04 03:00:00,13.9,-76.7,30,1004
2024-11-04 06:00:00,14.2,-76.7,30,1004
2024-11-04 09:00:00,14.5,-76.7,30,1004
2024-11-04 12:00:00,14.8,-76.6,30,1003
2024-11-04 15:00:00,14.9,-76.5,33,1002
2024-11-04 18:00:00,15.1,-76.4,35,1001
2024-11-04 21:00:00,15.4,-76.6,38,1000
2024-11-05 00:00:00,15.8,-76.9,40,999
2024-11-05 03:00:00,16.2,-77.2,43,997
2024-11-05 06:00:00,16.6,-77.6,45,994
2024-11-05 09:00:00,17.0,-77.9,48,994
2024-11-05 12:00:00,17.5,-78.3,50,993
2024-11-05 15:00:00,18.0,-78.7,55,992
2024-11-05 18:00:00,18.5,-79.1,60,990
2024-11-05 21:00:00,19.0,-79.5,65,988
2024-11-06 00:00:00,19.4,-80.0,70,985
2024-11-06 03:00:00,19.7,-80.5,75,980
2024-11-06 06:00:00,20.1,-80.9,80,975
2024-11-06 09:00:00,20.5,-81.3,85,970
2024-11-06 12:00:00,21.0,-81.6,90,964
2024-11-06 15:00:00,21.5,-81.9,95,960
2024-11-06 18:00:00,22.0,-82.3,100,955
2024-11-06 21:00:00,22.7,-82.7,100,955
2024-11-06 21:15:00,22.7,-82.7,100,955
2024-11-07 00:00:00,23.1,-83.2,95,968
2024-11-07 03:00:00,23.5,-83.7,93,969
2024-11-07 06:00:00,23.8,-84.1,90,970
2024-11-07 09:00:00,24.1,-84.5,90,970
2024-11-07 12:00:00,24.3,-84.9,90,969
2024-11-07 15:00:00,24.5,-85.3,90,969
2024-11-07 18:00:00,24.6,-85.7,90,968
2024-11-07 21:00:00,24.6,-86.1,90,967
2024-11-08 00:00:00,24.6,-86.6,90,966
2024-11-08 03:00:00,24.5,-87.1,98,960
2024-11-08 06:00:00,24.4,-87.6,105,954
2024-11-08 09:00:00,24.4,-88.0,100,958
2024-11-08 12:00:00,24.4,-88.4,95,962
2024-11-08 15:00:00,24.5,-88.8,88,968
2024-11-08 18:00:00,24.6,-89.1,80,973
2024-11-08 21:00:00,24.7,-89.4,73,980
2024-11-09 00:00:00,24.7,-89.7,65,986
2024-11-09 03:00:00,24.7,-90.1,60,989
2024-11-09 06:00:00,24.8,-90.5,55,992
2024-11-09 09:00:00,24.9,-90.9,53,995
2024-11-09 12:00:00,25.0,-91.2,50,998
2024-11-09 15:00:00,25.1,-91.4,48,999
2024-11-09 18:00:00,25.3,-91.5,45,1000
2024-11-09 21:00:00,25.4,-91.6,43,1001
2024-11-10 00:00:00,25.6,-91.7,40,1001
2024-11-10 03:00:00,25.8,-91.8,38,1002
2024-11-10 06:00:00,25.9,-91.9,35,1003
2024-11-10 09:00:00,26.0,-91.9,35,1003
2024-11-10 12:00:00,26.1,-91.9,35,1003
