time,lat,lon,vmax,mslp
2024-11-13 18:00:00,16.1,-78.4,25,1007
2024-11-13 21:00:00,16.1,-79.0,25,1006
2024-11-14 00:00:00,16.0,-79.7,25,1005
2024-11-14 03:00:00,16.0,-80.4,28,1004
2024-11-14 06:00:00,15.9,-81.1,30,1003
2024-11-14 09:00:00,15.8,-81.7,33,1002
2024-11-14 12:00:00,15.8,-82.2,35,1001
2024-11-14 15:00:00,15.8,-82.7,35,1001
2024-11-14 18:00:00,15.8,-83.1,35,1000
2024-11-14 21:00:00,15.7,-83.5,38,1000
2024-11-15 00:00:00,15.7,-84.0,40,999
2024-11-15 01:20:00,15.8,-84.3,40,999
2024-11-15 03:00:00,15.9,-84.6,40,999
2024-11-15 06:00:00,16.0,-85.0,40,998
2024-11-15 09:00:00,16.1,-85.3,43,998
2024-11-15 12:00:00,16.1,-85.6,45,997
2024-11-15 15:00:00,16.1,-85.9,45,997
2024-11-15 18:00:00,16.1,-86.1,45,997
2024-11-15 21:00:00,16.1,-86.1,45,997
2024-11-16 00:00:00,16.1,-86.1,45,997
2024-11-16 03:00:00,16.1,-86.1,43,998
2024-11-16 06:00:00,16.2,-86.2,40,999
2024-11-16 09:00:00,16.2,-86.3,40,999
2024-11-16 12:00:00,16.2,-86.4,40,999
2024-11-16 15:00:00,16.2,-86.6,38,1000
2024-11-16 18:00:00,16.3,-86.8,35,1000
2024-11-16 21:00:00,16.3,-87.0,35,1000
2024-11-17 00:00:00,16.4,-87.1,35,1000
2024-11-17 03:00:00,16.4,-87.3,35,1001
2024-11-17 06:00:00,16.5,-87.5,35,1001
2024-11-17 09:00:00,16.6,-87.6,35,1001
2024-11-17 12:00:00,16.8,-87.9,35,1001
2024-11-17 14:00:00,17.0,-88.3,35,1001
2024-11-17 15:00:00,17.1,-88.5,34,1001
2024-11-17 18:00:00,17.4,-89.1,30,1003
2024-11-17 21:00:00,17.7,-89.7,28,1004
2024-11-18 00:00:00,17.9,-90.2,25,1004
