time,lat,lon,vmax,mslp
2025-07-04 06:00:00,30.0,-79.6,25,1012
2025-07-04 09:00:00,30.3,-79.4,28,1012
2025-07-04 12:00:00,30.5,-79.3,30,1012
2025-07-04 15:00:00,30.6,-79.2,30,1012
2025-07-04 18:00:00,30.7,-79.1,30,1011
2025-07-04 21:00:00,30.7,-79.0,30,1011
2025-07-05 00:00:00,30.7,-79.0,30,1011
2025-07-05 03:00:00,30.7,-79.0,33,1011
2025-07-05 06:00:00,30.8,-78.9,35,1010
2025-07-05 09:00:00,30.9,-78.9,35,1010
2025-07-05 12:00:00,31.0,-78.8,35,1009
2025-07-05 15:00:00,31.3,-78.7,38,1008
2025-07-05 18:00:00,31.6,-78.6,40,1006
2025-07-05 21:00:00,31.9,-78.6,43,1005
2025-07-06 00:00:00,32.3,-78.6,45,1004
2025-07-06 03:00:00,32.8,-78.7,48,1003
2025-07-06 06:00:00,33.3,-78.9,50,1002
2025-07-06 08:00:00,33.6,-79.0,45,1003
2025-07-06 09:00:00,33.7,-79.0,43,1003
2025-07-06 12:00:00,33.9,-79.1,35,1005
2025-07-06 15:00:00,34.2,-79.1,30,1006
2025-07-06 18:00:00,34.6,-79.1,25,1006
2025-07-06 21:00:00,35.0,-79.0,25,1006
2025-07-07 00:00:00,35.5,-78.9,25,1006
2025-07-07 03:00:00,35.9,-78.7,25,1008
2025-07-07 06:00:00,36.3,-78.4,25,1009
2025-07-07 09:00:00,36.8,-77.7,25,1010
2025-07-07 12:00:00,37.2,-77.0,25,1011
2025-07-07 15:00:00,37.6,-76.4,23,1012
2025-07-07 18:00:00,37.9,-75.9,20,1012
