time,lat,lon,vmax,mslp
2025-09-26 18:00:00,20.9,-74.9,30,1008
2025-09-26 21:00:00,21.1,-75.2,30,1007
2025-09-27 00:00:00,21.3,-75.5,30,1006
2025-09-27 03:00:00,21.5,-75.7,30,1006
2025-09-27 06:00:00,21.6,-75.8,30,1006
2025-09-27 09:00:00,21.8,-76.0,30,1006
2025-09-27 12:00:00,21.9,-76.1,30,1005
2025-09-27 15:00:00,22.0,-76.3,30,1005
2025-09-27 18:00:00,22.1,-76.4,30,1005
2025-09-27 21:00:00,22.2,-76.5,30,1005
2025-09-28 00:00:00,22.4,-76.7,30,1004
2025-09-28 03:00:00,22.5,-76.9,30,1004
2025-09-28 06:00:00,22.7,-77.1,30,1003
2025-09-28 09:00:00,22.9,-77.3,30,1002
2025-09-28 12:00:00,23.1,-77.4,30,1001
2025-09-28 15:00:00,23.4,-77.4,33,1000
2025-09-28 18:00:00,23.8,-77.3,35,998
2025-09-28 21:00:00,24.2,-77.2,35,998
2025-09-29 00:00:00,24.6,-77.1,35,997
2025-09-29 03:00:00,24.9,-77.1,38,996
2025-09-29 06:00:00,25.3,-77.1,40,995
2025-09-29 09:00:00,25.8,-77.1,43,992
2025-09-29 12:00:00,26.4,-77.1,45,989
2025-09-29 15:00:00,26.9,-77.2,48,988
2025-09-29 18:00:00,27.3,-77.3,50,987
2025-09-29 21:00:00,27.7,-77.3,53,986
2025-09-30 00:00:00,28.0,-77.3,55,985
2025-09-30 03:00:00,28.3,-77.3,55,984
2025-09-30 06:00:00,28.6,-77.2,55,983
2025-09-30 09:00:00,28.8,-77.1,60,982
2025-09-30 12:00:00,28.9,-76.9,65,981
2025-09-30 15:00:00,29.1,-76.5,68,980
2025-09-30 18:00:00,29.2,-76.0,70,979
2025-09-30 21:00:00,29.3,-75.5,70,978
2025-10-01 00:00:00,29.4,-74.8,70,977
2025-10-01 03:00:00,29.6,-74.0,73,975
2025-10-01 06:00:00,29.9,-73.1,75,973
2025-10-01 09:00:00,30.3,-72.3,78,971
2025-10-01 12:00:00,30.7,-71.4,80,968
2025-10-01 15:00:00,31.0,-70.4,80,967
2025-10-01 18:00:00,31.2,-69.2,80,966
2025-10-01 21:00:00,31.5,-67.9,80,969
2025-10-02 00:00:00,31.8,-66.4,80,971
2025-10-02 03:00:00,32.2,-64.8,80,973
2025-10-02 06:00:00,32.6,-63.2,80,974
2025-10-02 09:00:00,32.8,-62.0,75,976
2025-10-02 12:00:00,33.0,-60.8,70,977
2025-10-02 15:00:00,33.2,-59.3,65,982
2025-10-02 18:00:00,33.5,-57.5,60,986
2025-10-02 21:00:00,34.0,-55.4,58,988
2025-10-03 00:00:00,34.5,-53.4,55,990
2025-10-03 03:00:00,35.0,-52.1,55,990
2025-10-03 06:00:00,35.7,-51.1,55,990
2025-10-03 09:00:00,36.5,-50.0,55,988
2025-10-03 12:00:00,37.3,-49.3,55,986
2025-10-03 15:00:00,38.2,-49.1,58,983
2025-10-03 18:00:00,38.9,-49.1,60,979
2025-10-03 21:00:00,39.3,-49.1,63,979
2025-10-04 00:00:00,39.7,-49.0,65,978
2025-10-04 03:00:00,40.2,-48.8,63,979
2025-10-04 06:00:00,40.8,-48.5,60,979
2025-10-04 09:00:00,41.4,-48.1,58,980
2025-10-04 12:00:00,42.0,-47.5,55,981
2025-10-04 15:00:00,42.7,-46.7,53,982
2025-10-04 18:00:00,43.5,-45.8,50,983
2025-10-04 21:00:00,44.4,-44.9,48,984
2025-10-05 00:00:00,45.3,-44.0,45,984
2025-10-05 03:00:00,46.1,-43.0,45,984
2025-10-05 06:00:00,46.9,-41.9,45,984
2025-10-05 09:00:00,47.8,-40.8,48,984
2025-10-05 12:00:00,48.6,-39.6,50,983
2025-10-05 15:00:00,49.1,-38.1,50,984
2025-10-05 18:00:00,49.5,-36.5,50,984
2025-10-05 21:00:00,49.9,-34.8,48,986
2025-10-06 00:00:00,50.3,-33.0,45,988
