time,lat,lon,vmax,mslp
2025-10-13 06:00:00,13.8,-39.7,40,1005
2025-10-13 09:00:00,14.1,-40.1,43,1004
2025-10-13 12:00:00,14.4,-40.6,45,1003
2025-10-13 15:00:00,14.7,-41.1,45,1003
2025-10-13 18:00:00,15.0,-41.5,45,1002
2025-10-13 21:00:00,15.4,-41.9,48,1001
2025-10-14 00:00:00,15.8,-42.4,50,1000
2025-10-14 03:00:00,16.4,-43.0,50,1000
2025-10-14 06:00:00,16.9,-43.6,50,1000
2025-10-14 09:00:00,17.3,-44.2,45,1002
2025-10-14 12:00:00,17.6,-44.7,40,1004
2025-10-14 15:00:00,17.9,-45.1,38,1005
2025-10-14 18:00:00,18.3,-45.3,35,1005
2025-10-14 21:00:00,18.7,-45.5,35,1005
2025-10-15 00:00:00,19.2,-45.5,35,1005
2025-10-15 03:00:00,19.6,-45.5,35,1005
2025-10-15 06:00:00,20.1,-45.3,35,1004
2025-10-15 09:00:00,20.6,-45.0,35,1004
2025-10-15 12:00:00,21.1,-44.5,35,1004
