time,lat,lon,vmax,mslp
2026-07-17 12:00:00,25.6,-83.5,20,1018
2026-07-17 15:00:00,25.7,-83.6,20,1018
2026-07-17 18:00:00,25.8,-83.6,20,1017
2026-07-17 21:00:00,25.9,-83.6,20,1017
2026-07-18 00:00:00,26.0,-83.7,20,1016
2026-07-18 03:00:00,26.1,-83.9,20,1016
2026-07-18 06:00:00,26.2,-84.0,20,1016
2026-07-18 09:00:00,26.4,-84.0,20,1016
2026-07-18 12:00:00,26.7,-84.0,20,1015
2026-07-18 15:00:00,27.0,-84.0,20,1015
2026-07-18 18:00:00,27.3,-84.1,20,1015
2026-07-18 21:00:00,27.5,-84.3,23,1014
2026-07-19 00:00:00,27.7,-84.6,25,1013
2026-07-19 03:00:00,27.8,-85.0,25,1013
2026-07-19 06:00:00,27.8,-85.3,25,1012
2026-07-19 09:00:00,27.9,-85.4,25,1012
2026-07-19 12:00:00,27.9,-85.3,25,1011
2026-07-19 15:00:00,27.7,-85.1,25,1011
2026-07-19 18:00:00,27.5,-85.0,25,1010
2026-07-19 21:00:00,27.5,-85.0,25,1009
2026-07-20 00:00:00,27.7,-85.0,25,1008
2026-07-20 03:00:00,28.1,-85.1,28,1008
2026-07-20 06:00:00,28.4,-85.3,30,1007
2026-07-20 09:00:00,28.4,-85.4,30,1007
2026-07-20 12:00:00,28.4,-85.5,30,1006
2026-07-20 15:00:00,28.5,-85.6,30,1006
2026-07-20 18:00:00,28.6,-85.7,30,1005
2026-07-20 21:00:00,28.6,-85.9,33,1004
2026-07-21 00:00:00,28.5,-86.0,35,1003
2026-07-21 03:00:00,28.5,-86.1,40,1001
2026-07-21 06:00:00,28.5,-86.1,45,998
2026-07-21 09:00:00,28.6,-86.1,48,997
2026-07-21 12:00:00,28.8,-86.2,50,996
2026-07-21 15:00:00,29.1,-86.5,50,996
2026-07-21 18:00:00,29.3,-86.8,50,995
2026-07-21 21:00:00,29.4,-87.1,50,996
2026-07-22 00:00:00,29.4,-87.4,50,996
2026-07-22 03:00:00,29.4,-87.7,48,997
2026-07-22 06:00:00,29.4,-87.9,45,998
2026-07-22 09:00:00,29.5,-88.2,45,998
2026-07-22 12:00:00,29.6,-88.5,45,998
2026-07-22 15:00:00,29.8,-88.8,43,999
2026-07-22 18:00:00,29.9,-89.2,40,1000
2026-07-22 21:00:00,29.7,-89.8,40,1001
2026-07-23 00:00:00,29.4,-90.5,40,1002
2026-07-23 03:00:00,29.1,-91.1,40,1003
2026-07-23 06:00:00,28.9,-91.7,40,1003
2026-07-23 09:00:00,29.1,-92.1,40,1003
2026-07-23 12:00:00,29.5,-92.6,40,1003
2026-07-23 15:00:00,29.7,-93.2,38,1005
2026-07-23 18:00:00,29.8,-93.9,35,1006
2026-07-23 21:00:00,29.9,-94.6,33,1007
2026-07-24 00:00:00,30.0,-95.2,30,1008
